State,total energy,Sources ,,,,,,,,End-Use Sectors a,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Fossil Fuels,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,Net,,,,,
,,,,,,Nuclear,,Interstate,Net,,,,
,,coal,natural gas,Petroleum d,Total ,Electric,Renewable,Flow of,Electricity,,,,
,,,,,,Power,Energy e,Electricity f,Imports g,Residential,Commercial,Industrial b,Transportation
,,,,,,,,,,,,,
Alabama,"1,909.60",494.3,696.4,523.3,"1,714.00",438.7,270.8,-514,0,352.6,263.8,808.3,484.8
Alaska,619.9,19.5,337.1,241.6,598.2,0,21.7,0,0,49.1,66.4,332.8,171.5
Arizona,"1,439.90",385.8,365.5,506.7,"1,258.10",340.2,147.4,-305.8,0.1,383.8,347.3,235.1,473.7
Arkansas,"1,055.50",226.9,296.7,315.2,838.8,144.7,121.7,-49.8,0,230.3,179.6,370.5,275.1
California,"7,676.30",31,"2,381.70","3,362.20","5,774.90",193.5,855.8,805.6,46.5,"1,357.00","1,464.90","1,837.30","3,017.10"
Colorado,"1,480.20",340.1,492.6,465.6,"1,298.30",0,127.9,54,(s),343.2,290.2,439.3,407.6
Connecticut,751.6,6.5,260.9,314.6,582.1,182.1,40.7,-55.4,2.1,249,199,76,227.6
Delaware,278,7.1,107.8,102.4,217.3,0,7.8,52.8,0,65.7,57.4,89.1,65.8
Dist. of Col.,178.8,(s),33.7,20.9,54.7,0,1.8,122.3,0,42.5,108.6,7,20.8
Florida,"4,241.70",466.5,"1,366.30","1,621.80","3,454.60",294.1,300.8,192.2,0,"1,219.20","1,018.30",486.9,"1,517.30"
Georgia,"2,851.20",394.7,712,879.5,"1,986.20",353.9,296.2,214.9,0,703.7,553,767,827.5
Hawaii,282.4,15.6,0.2,237.8,253.6,0,28.8,0,0,31.8,41.3,64.1,145.2
Idaho,524.4,4.2,107.9,172.2,284.3,0,143.4,96.6,(s),114.1,87.8,173.3,149.2
Illinois,"3,942.70",850.4,"1,011.20","1,272.90","3,134.60","1,017.40",251.7,-460.9,0,929.5,794.9,"1,171.00","1,047.30"
Indiana,"2,846.40","1,007.50",734.9,778.7,"2,521.10",0,167.1,157.8,0.4,532.5,375.6,"1,305.90",632.5
Iowa,"1,494.80",348.3,303,417.6,"1,068.90",54.8,413.3,-42.3,0,225.6,201.9,766.4,300.9
Kansas,"1,082.60",273.4,260.1,345,878.5,90.3,147.9,-34,0,219.8,212.7,371.5,278.7
Kentucky,"1,725.50",796.5,274.7,590.5,"1,661.70",0,87.8,-24,0,363.3,265.9,633,463.2
Louisiana,"4,258.90",174.2,"1,589.00","2,080.80","3,844.00",160,146.8,108.1,0,333.9,270,"2,963.60",691.4
Maine,405.6,2.6,54.2,196.5,253.3,0,148,-11.7,16.1,95,66,115.8,128.9
Maryland,"1,399.50",166,226,473.6,865.6,153.1,75.2,304.9,0.6,427.2,429.1,113.7,429.5
Massachusetts,"1,444.90",24.2,457.4,561,"1,042.60",52.2,82.1,263.4,4.5,434,404.3,160,446.6
