,,,,,
"Source:  USCIS, as of June 30, 2017. Notes: All data are based on approved petitions during the fiscal year. Per USCIS best practices, units of less than 10 are aggregated so as to limit the possibility of the de-anonymization of data.  “D” represents data withheld to protect privacy. Total number of beneficiaries includes initial, renewal, cap-subject, and cap-exempt petitions. While some company names may appear multiple times, USCIS does not combine companies even where the names are the same because in all cases the employer tax identification numbers are different. Missing Education means the education field is not captured by the USCIS electronic data storage system. Average salary includes both full-time and part-time employment.  In lieu of the required degree a beneficiary may qualify based on a combination of education, training, and/or progressively responsible experience in the specialty that is equivalent to the completion of such a degree, and recognition of expertise in the specialty through progressively responsible positions directly related to the specialty.",,,,,
Employer Information,,Petition Information by Employer,,,
Employer Tax Number (Last 4 Digits), Employer Name ,Total Number of Approved Petitions, Average Salary ($) ,Beneficary Degree/Diploma,
4155, COGNIZANT TECH SOLNS US CORP ,21459," 84,303 ",Missing Education,D
,  ,,   ,Bachelor's,16528
,  ,,   ,Doctorate,D
,  ,,   ,High School,D
,  ,,   ,Master's,4919
0235, INFOSYS LTD ,12780," 84,344 ",Missing Education,D
,  ,,   ,Associate Degree,23
,  ,,   ,Bachelor's,9940
,  ,,   ,Doctorate,D
,  ,,   ,High School,D
,  ,,   ,Master's,2759
,  ,,   ,Professional Degree,49
9806, TATA CONSULTANCY SVCS LTD ,11295," 71,819 ",Missing Education,D
,  ,,   ,Bachelor's,9071
,  ,,   ,Doctorate,D
,  ,,   ,Master's,2221
2904, ACCENTURE LLP ,6831," 79,416 ",Missing Education,D
,  ,,   ,Bachelor's,5162
,  ,,   ,Doctorate,D
,  ,,   ,High School,D
,  ,,   ,Master's,1661
,  ,,   ,Professional Degree,D
4401, WIPRO LTD ,6819," 73,937 ",Missing Education,D
,  ,,   ,Associate Degree,65
,  ,,   ,Bachelor's,4220
,  ,,   ,High School,D
,  ,,   ,Master's,2521
1430, IBM CORPORATION ,3569," 79,275 ",Missing Education,D
,  ,,   ,Bachelor's,2181
,  ,,   ,Master's,1385
,  ,,   ,Professional Degree,D
,  ,,   ,Some College Credits,D
4442, MICROSOFT CORP ,3556," 126,096 ",Missing Education,D
,  ,,   ,Bachelor's,1494
,  ,,   ,Doctorate,151
,  ,,   ,High School,D
,  ,,   ,Master's,1907
,  ,,   ,Professional Degree,D
5035, HCL AMERICA INC ,3492," 83,980 ",Missing Education,D
,  ,,   ,Bachelor's,2192
,  ,,   ,Doctorate,D
,  ,,   ,Master's,1295
,  ,,   ,No Diploma,D
,  ,,   ,Some College Credits,D
2696, TECH MADHINDRA AMERICAS INC ,3344," 76,737 ",Missing Education,D
,  ,,   ,Bachelor's,2187
,  ,,   ,Doctorate,D
,  ,,   ,High School,15
,  ,,   ,Master's,1133
,  ,,   ,No Diploma,D
,  ,,   ,Professional Degree,D
,  ,,   ,Some College Credits,D
4513, DELOITTE CONSULTING LLP ,3114," 102,558 ",Bachelor's,2061
,  ,,   ,Doctorate,D
,  ,,   ,Master's,1044
,  ,,   ,Professional Degree,D
6545, AMAZON CORPORATE LLC ,2739," 115,257 ",Missing Education,D
,  ,,   ,Bachelor's,807
,  ,,   ,Doctorate,88
,  ,,   ,Master's,1840
,  ,,   ,Professional Degree,D
3581, GOOGLE INC ,2517," 131,882 ",Bachelor's,700
,  ,,   ,Doctorate,280
,  ,,   ,Master's,1535
,  ,,   ,Professional Degree,D
3900, SYNEL CONSULTING INC ,2286," 67,145 ",Missing Education,D
,  ,,   ,Bachelor's,1560
,  ,,   ,High School,D
,  ,,   ,Master's,718
,  ,,   ,No Diploma,D
,  ,,   ,Some College Credits,D
5497, CAPGEMINI AMERICA INC. ,2024," 71,667 ",Missing Education,D
,  ,,   ,Bachelor's,1532
,  ,,   ,Master's,491
4110, APPLE INC ,1992," 138,563 ",Bachelor's,643
,  ,,   ,Doctorate,203
,  ,,   ,Master's,1134
,  ,,   ,No Diploma,D
,  ,,   ,Professional Degree,D
,  ,,   ,Some College Credits,D
2743, INTEL CORP ,1873," 101,025 ",Missing Education,D
,  ,,   ,Bachelor's,233
,  ,,   ,Doctorate,304
,  ,,   ,Master's,1334
,  ,,   ,Professional Degree,D
4303, LARDEN & TOUBRO INFOTECH LTD ,1558," 76,643 ",Bachelor's,1270
,  ,,   ,Master's,288
5596, ERNST & YOUNG U S LLP ,1552," 96,316 ",Missing Education,D
,  ,,   ,Bachelor's,531
,  ,,   ,Doctorate,16
,  ,,   ,Master's,988
,  ,,   ,Professional Degree,16
9951, CISCO SYS INC ,1529," 121,372 ",Missing Education,D
,  ,,   ,Associate Degree,D
,  ,,   ,Bachelor's,576
,  ,,   ,Doctorate,25
,  ,,   ,High School,D
,  ,,   ,Master's,924
4428, JP MORGAN CHASE & CO ,1467," 111,469 ",Bachelor's,667
,  ,,   ,Doctorate,59
,  ,,   ,Master's,736
,  ,,   ,No Diploma,D
,  ,,   ,Professional Degree,D
5249, ORACLE AMERICA INC ,1448," 118,507 ",Missing Education,D
,  ,,   ,Bachelor's,533
,  ,,   ,Doctorate,40
,  ,,   ,Master's,874
7787, QUALCOMM TECHNOLOGIES INC ,1254," 118,155 ",Missing Education,D
,  ,,   ,Bachelor's,200
,  ,,   ,Doctorate,101
,  ,,   ,Master's,950
5929, CAPEGEMINI AMERICA INC ,1252," 84,274 ",Bachelor's,847
,  ,,   ,Doctorate,D
,  ,,   ,High School,D
,  ,,   ,Master's,400
,  ,,   ,Professional Degree,D
1591, L & T TECH SERVICES LTD ,1143," 65,246 ",Bachelor's,978
,  ,,   ,Doctorate,D
,  ,,   ,Master's,163
