"","job_title","company","location","description","age"
"1","Data Scientist - Machine Learning & AI"," Lenovo"," – Chicago, IL"," Position Description  Motorola Mobility, A Lenovo Company, is one of the world’s fastest growing smartphone providers, creating groundbreaking, affordable, high-quality products designed and built with the global customer in mind. And it’s our people who make this all happen. We are thinkers, risk-takers and problem solvers, working together to constantly challenge the status quo. If you share our commitment to ingenuity, creativity and innovation we want you to help us define our world of tomorrow. Explore the opportunities and apply today.Motorola Mobility seeks a Data Scientist to join our Machine Learning/AI group. This is a small, fast-moving team that’s taking state-of-the-art object and speech recognition AI out of the lab and making it work in the constantly evolving environment of mobile devices. You’ll address the performance challenges of running high powered AI on low-power mobile devices. Your work will put today’s “science fiction” in the hands of the world tomorrow.As a Data Scientist on the Machine Learning/AI team, you’ll work with massive volumes of real-world data to better enable AI models and context-awareness functions powering our mobile devices. Here are some of the things you can expect to do on your projects:•Capture, process and organize multi-sensor data to enable device-based AI models and optimize their performance. Specific tasks include, but are not limited to, data source identification, data acquisition/collection, data cleaning, data labeling, integration and alignment of multiple sources and types of data, etc.•Analyze data statistics to address data limitations in machine learning/AI models; create and utilize necessary methods, algorithms, and tools to improve data quality and applicability•Evaluate statistical dependency and information redundancy of data among multiple sensors; provide solutions to select and connect sensory modalities for an optimal graph with lowest cost to achieve efficiently performing AI functions•Work with product, engineering and customer teams to design, build and maintain datasets and incorporate data science capabilities into Motorola’s new product offerings  Position Requirements  Basic Qualifications:•Minimum of 2 years of experience with data acquisition and collection, statistical data analysis and data mining techniques for real world problems•Experience in Python or other scripting languages•Possess strong problem solving skills and a passion for learning new concepts and techniques for more efficient data modeling•B.S. Degree in Computer Science, Math, or Statistics or a related field Preferred Additional Skills•M.S. or Ph.D. Degree in Computer Science, Math, or Statistics or a related field•Possess a nuanced understanding of all phases of data acquisition and collection, statistical data analysis and data mining techniques•Experience with Google Could Platform and APIs•Knowledge of modern mobile hardware architectures•Good multitasking and communication skills  We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, gender identity, status as a veteran, and basis of disability or any other federal, state or local protected class. "," 4 days ago"
"2","Data Scientist - Machine Learning & AI"," Lenovo"," – Chicago, IL"," Position Description  Motorola Mobility, A Lenovo Company, is one of the world’s fastest growing smartphone providers, creating groundbreaking, affordable, high-quality products designed and built with the global customer in mind. And it’s our people who make this all happen. We are thinkers, risk-takers and problem solvers, working together to constantly challenge the status quo. If you share our commitment to ingenuity, creativity and innovation we want you to help us define our world of tomorrow. Explore the opportunities and apply today.Motorola Mobility seeks a Data Scientist to join our Machine Learning/AI group. This is a small, fast-moving team that’s taking state-of-the-art object and speech recognition AI out of the lab and making it work in the constantly evolving environment of mobile devices. You’ll address the performance challenges of running high powered AI on low-power mobile devices. Your work will put today’s “science fiction” in the hands of the world tomorrow.As a Data Scientist on the Machine Learning/AI team, you’ll work with massive volumes of real-world data to better enable AI models and context-awareness functions powering our mobile devices. Here are some of the things you can expect to do on your projects:•Capture, process and organize multi-sensor data to enable device-based AI models and optimize their performance. Specific tasks include, but are not limited to, data source identification, data acquisition/collection, data cleaning, data labeling, integration and alignment of multiple sources and types of data, etc.•Analyze data statistics to address data limitations in machine learning/AI models; create and utilize necessary methods, algorithms, and tools to improve data quality and applicability•Evaluate statistical dependency and information redundancy of data among multiple sensors; provide solutions to select and connect sensory modalities for an optimal graph with lowest cost to achieve efficiently performing AI functions•Work with product, engineering and customer teams to design, build and maintain datasets and incorporate data science capabilities into Motorola’s new product offerings  Position Requirements  Basic Qualifications:•Minimum of 2 years of experience with data acquisition and collection, statistical data analysis and data mining techniques for real world problems•Experience in Python or other scripting languages•Possess strong problem solving skills and a passion for learning new concepts and techniques for more efficient data modeling•B.S. Degree in Computer Science, Math, or Statistics or a related field Preferred Additional Skills•M.S. or Ph.D. Degree in Computer Science, Math, or Statistics or a related field•Possess a nuanced understanding of all phases of data acquisition and collection, statistical data analysis and data mining techniques•Experience with Google Could Platform and APIs•Knowledge of modern mobile hardware architectures•Good multitasking and communication skills  We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, gender identity, status as a veteran, and basis of disability or any other federal, state or local protected class. "," 4 days ago"
"3","Customer Data Scientist / Solutions Architect"," h2o.ai"," – Chicago, IL","About H2O.ai At H2O.ai we see a world where all software will incorporate AI, and were focused on bringing AI to business through software. H2O.ai is the maker behind H2O, the leading open source deep learning platform for smarter applications and data products. H2O operationalizes data science by developing and deploying algorithms and models for R, Python and the Sparkling Water API for Spark. Some of H2Os mission critical applications include predictive maintenance, operational intelligence, security, fraud, auditing, churn, credit scoring, user based insurance, predicting sepsis, ICU monitoring and more in over 10,000 organizations. H2O is brewing a grassroots culture of data transformation in its customer communities. Customers include Capital One, Progressive Insurance, Zurich North America, Transamerica, Comcast, Nielsen Catalina Solutions, Macys, Kaiser Permanente and many more Job DescriptionCan you learn demonstrations (demos) built with R and/or Python? If you think of a cool demo and it doesn't exist, will you raise your hand to get it built?Can you sling code proficiently in at least one language used by data scientists and/or data engineers, and does it excite you to learn more?Are you a strong learner capable of coming up to speed quickly with new technologies?Do you view communication skills just as important as technical ones? Can you listen to the needs of your peers and customers? Can you write a technical proposal?Have a competitive drive to be the best you can be?Can you finish what you start? Can you own assignments given to you? If the answer is ""yes"" to these questions, you potentially could be an excellent fit to join the team of customer engineering makers at H2O.ai. We deliver world-class solution experiences for our customers and drive revenue for our organization. Some of the technical projects you will work on include: training advanced machine learning models at scale in distributed environments, influencing next generation data science tools and data products, and pioneering ideas and products in new areas, such as GPU machine learning, machine learning interpretability, automatic machine learning, model management, & deployment pipelines. Responsibilities As a solutions architect / customer data scientist, you will work closely with sales directors to: Be the technical expert and data scientist leader for sales cyclesOwn account-related technical itemsTranslate business use cases and requirement into technical onesProblem solve and assess technical problems, determine solutions, and work with internal and customer teams to resolve themArchitect machine learning workflows and systemsCreate, design, and deliver compelling presentations on complex & technical conceptsCraft statement of work, responses for proposals/information, and all written communication required to engage customers.Demonstrate product solutions with engaging storytelling and technical accuracyCommunicate effectively with internal and externally to a diverse audience, including: engineers, business people, and executives. Audiences will be large and small, and interactions will be in-person and online.Drive field feedback back into product developmentBe hands-on for all technical activities throughout the sales cycleFocused on customer experience and sales objectivesTravel up to 50% (primarily domestic, occasionally international)QualificationsEducation and ExperienceBachelor's degree in engineering, computer science, mathematics or related field. Graduate degree is a plus.2+ years experience with performing customer facing activities as part of a pre-sales team or professional services team2+ years experience with machine learning and data mining2+ years using R or Python for data analytics2+ year working with data in Hadoop and /or Spark ecosystemDesirable: Maker mindset, strong learner and coachableDesirable: Fearless problem solver, strong technical abilities, accountable team playerWork location: Multiple locations across the United States  H2O.ai is an equal opportunity employer. We welcome and encourage diversity in the workplace regardless of race, gender, sexual orientation, gender identity, disability or veteran status."," 1 days ago"
"4","Customer Data Scientist / Solutions Architect"," h2o.ai"," – Chicago, IL","About H2O.ai At H2O.ai we see a world where all software will incorporate AI, and were focused on bringing AI to business through software. H2O.ai is the maker behind H2O, the leading open source deep learning platform for smarter applications and data products. H2O operationalizes data science by developing and deploying algorithms and models for R, Python and the Sparkling Water API for Spark. Some of H2Os mission critical applications include predictive maintenance, operational intelligence, security, fraud, auditing, churn, credit scoring, user based insurance, predicting sepsis, ICU monitoring and more in over 10,000 organizations. H2O is brewing a grassroots culture of data transformation in its customer communities. Customers include Capital One, Progressive Insurance, Zurich North America, Transamerica, Comcast, Nielsen Catalina Solutions, Macys, Kaiser Permanente and many more Job DescriptionCan you learn demonstrations (demos) built with R and/or Python? If you think of a cool demo and it doesn't exist, will you raise your hand to get it built?Can you sling code proficiently in at least one language used by data scientists and/or data engineers, and does it excite you to learn more?Are you a strong learner capable of coming up to speed quickly with new technologies?Do you view communication skills just as important as technical ones? Can you listen to the needs of your peers and customers? Can you write a technical proposal?Have a competitive drive to be the best you can be?Can you finish what you start? Can you own assignments given to you? If the answer is ""yes"" to these questions, you potentially could be an excellent fit to join the team of customer engineering makers at H2O.ai. We deliver world-class solution experiences for our customers and drive revenue for our organization. Some of the technical projects you will work on include: training advanced machine learning models at scale in distributed environments, influencing next generation data science tools and data products, and pioneering ideas and products in new areas, such as GPU machine learning, machine learning interpretability, automatic machine learning, model management, & deployment pipelines. Responsibilities As a solutions architect / customer data scientist, you will work closely with sales directors to: Be the technical expert and data scientist leader for sales cyclesOwn account-related technical itemsTranslate business use cases and requirement into technical onesProblem solve and assess technical problems, determine solutions, and work with internal and customer teams to resolve themArchitect machine learning workflows and systemsCreate, design, and deliver compelling presentations on complex & technical conceptsCraft statement of work, responses for proposals/information, and all written communication required to engage customers.Demonstrate product solutions with engaging storytelling and technical accuracyCommunicate effectively with internal and externally to a diverse audience, including: engineers, business people, and executives. Audiences will be large and small, and interactions will be in-person and online.Drive field feedback back into product developmentBe hands-on for all technical activities throughout the sales cycleFocused on customer experience and sales objectivesTravel up to 50% (primarily domestic, occasionally international)QualificationsEducation and ExperienceBachelor's degree in engineering, computer science, mathematics or related field. Graduate degree is a plus.2+ years experience with performing customer facing activities as part of a pre-sales team or professional services team2+ years experience with machine learning and data mining2+ years using R or Python for data analytics2+ year working with data in Hadoop and /or Spark ecosystemDesirable: Maker mindset, strong learner and coachableDesirable: Fearless problem solver, strong technical abilities, accountable team playerWork location: Multiple locations across the United States  H2O.ai is an equal opportunity employer. We welcome and encourage diversity in the workplace regardless of race, gender, sexual orientation, gender identity, disability or veteran status."," 1 days ago"
"5","Data Scientist"," SPINS, LLC"," – Chicago, IL"," SPINS, a Chicago-based SaaS company, is seeking to add to our Client Solutions team.  By leveraging SPINS industry-leading proprietary data and analytics, our technology enables deeper, more engaged relationships between Retailers, Brands and Consumers through our platform, web, and mobile products. WHO ARE WE?We eat collaboration and curiosity for breakfastWe communicate quickly and succinctlyWe believe in roles instead of jobsWe take initiative independently and hurdle challenges togetherWe discuss, debate, decide and do with the same rapidity as we iterate our platformWe are a talent ecosystem whose health is predicated on each individuals ability to support every other individuals successWHO ARE YOU?Someone energetic, empathic and earnestSomeone who wakes each morning thinking of which opportunity they will grab todaySomeone that refuses to give up when the path isnt pavedSomeone that consistently delivers quality work on scheduleSomeone who would rather build the right tool to do the job than wait until theyre handed oneA creative thinker as adept at looking at the Big Picture as they are at the detailsAn obsessive perfectionist that knows when to put down the paintbrush and shipThe kind of person that can expertly use an Onion headline as an analogy in a serious strategy meetingWHAT DO WE NEED? You will report to the Director of Data Science Solutions and create robust, scalable data science solutions that scale across the SPINS business. You will be working in a hands on role, using python to uncover meaning and insight that leverage SPINS proprietary data. You will develop and drive the data science efficiency of the organization by contributing to a reusable codebase that can be leveraged in other projects across the organization.  Ideally, you thrive on continuous innovation when value is determined by client results. You must have a passion for digging into data using the latest tools and methodologies. WHAT ARE YOUR REPONSIBILITIES?Create innovative and efficient techniques that better solve the problems we are working onPartner with internal and external stakeholders to develop tools and services such as data models, dashboards, decision aids, and business case analysis to support programs, creative direction, and recommended solutionsExplain statistical principles that underpin the insights you generate from SPINS dataYOU ALREADY:Have a professional quantitative background with an education that stresses analytical thinking and quantitative methods (STEM)Have a strong knowledge of python in a data context (iterators, pandas, scikit-learn, etc.)Are passionate about innovating new ways to answer novel problemsAre comfortable with being given the self-autonomy to work independently and experiment with new ideas and new ways to design and implement data science solutions to advance business goalsHave confidence in making data-driven recommendations to clients & retail partners based on independent synthesis of a broad range of dataFamiliarity with Docker is a plus"," 6 days ago"
"6","Data Scientist"," SPINS, LLC"," – Chicago, IL"," SPINS, a Chicago-based SaaS company, is seeking to add to our Client Solutions team.  By leveraging SPINS industry-leading proprietary data and analytics, our technology enables deeper, more engaged relationships between Retailers, Brands and Consumers through our platform, web, and mobile products. WHO ARE WE?We eat collaboration and curiosity for breakfastWe communicate quickly and succinctlyWe believe in roles instead of jobsWe take initiative independently and hurdle challenges togetherWe discuss, debate, decide and do with the same rapidity as we iterate our platformWe are a talent ecosystem whose health is predicated on each individuals ability to support every other individuals successWHO ARE YOU?Someone energetic, empathic and earnestSomeone who wakes each morning thinking of which opportunity they will grab todaySomeone that refuses to give up when the path isnt pavedSomeone that consistently delivers quality work on scheduleSomeone who would rather build the right tool to do the job than wait until theyre handed oneA creative thinker as adept at looking at the Big Picture as they are at the detailsAn obsessive perfectionist that knows when to put down the paintbrush and shipThe kind of person that can expertly use an Onion headline as an analogy in a serious strategy meetingWHAT DO WE NEED? You will report to the Director of Data Science Solutions and create robust, scalable data science solutions that scale across the SPINS business. You will be working in a hands on role, using python to uncover meaning and insight that leverage SPINS proprietary data. You will develop and drive the data science efficiency of the organization by contributing to a reusable codebase that can be leveraged in other projects across the organization.  Ideally, you thrive on continuous innovation when value is determined by client results. You must have a passion for digging into data using the latest tools and methodologies. WHAT ARE YOUR REPONSIBILITIES?Create innovative and efficient techniques that better solve the problems we are working onPartner with internal and external stakeholders to develop tools and services such as data models, dashboards, decision aids, and business case analysis to support programs, creative direction, and recommended solutionsExplain statistical principles that underpin the insights you generate from SPINS dataYOU ALREADY:Have a professional quantitative background with an education that stresses analytical thinking and quantitative methods (STEM)Have a strong knowledge of python in a data context (iterators, pandas, scikit-learn, etc.)Are passionate about innovating new ways to answer novel problemsAre comfortable with being given the self-autonomy to work independently and experiment with new ideas and new ways to design and implement data science solutions to advance business goalsHave confidence in making data-driven recommendations to clients & retail partners based on independent synthesis of a broad range of dataFamiliarity with Docker is a plus"," 6 days ago"
"7","Data Scientist - Global Center of Competence (CoC)"," IBM"," – Chicago, IL"," IBM Global Business Services (GBS) is a team of business, strategy and technology consultants enabling enterprises to make smarter decisions and providing unparalleled client and consumer experiences in cognitive, data analytics, cloud technology and mobile app development. With global reach, outcome-focused methodologies and deep industry expertise, IBM GBS empowers clients to digitally reinvent their business and get the competitive edge in the cognitive era in over 170 countries.  Bottom line? We outthink ordinary. Discover what you can do at IBM.  The Center of Competence (CoC) is the recognized leader for delivering solutions to clients across all industries and verticals. We combine the latest technologies with the technical depth of IBM and our extensive network of partners to design and implement innovative solutions to our client. We are now expanding our team and looking for Data Scientists who are a recognized authority in their area of expertise and have a proven track record of success.  The Data Scientist is an experienced practitioner in the areas of statistics, data mining and machine learning as applied to numerical, time series and text data. They will help clients understand the potential meaning that can be extracted from a variety of data sources by applying big data analytics, statistics and machine learning techniques. They will further help clients understand how these insights can lead to greater operational efficiency and new business opportunities. A Data Scientist is also responsible for presenting data and results visually in ways that support understanding of the extracted meaning. Key Responsibilities include:Provide quantitative and business analytic skills to develop and implement solutionsDefine key business problems to be solved and formulate mathematical approaches to solve those given problemsForm and maintain trusted relationships with clients and serve as the 'go to' contactApply oral and written communication skills to proposal development, client presentations and deliverable creationCreate software assets that can be deployed as services and redeployed with new clientsCollaborate with subject matter experts and Data Scientists in IBM Research In the CoC, the Data Scientist will have the opportunity to contribute right away to top tier clients in collaboration with others in a dynamic team environment. The Data Scientist will work on projects that help clients integrate strategy and technology to increase effectiveness, reduce costs, and improve profit and shareholder value. The Data Scientist will have an opportunity to build a powerful portfolio of interesting and rewarding experiences.  The ideal candidate will have experiences in at least one of the following areas, with the opportunity to develop and strengthen abilities in other areas: data analytics and modeling, data visualization, business acumen and strategy. You can take advantage of opportunities to master new skills, work across different disciplines and move into new challenges....all at IBM, a company that is at the forefront of tackling the grand challenges that affect our society.  When not traveling nationally and globally, practitioners on this team will report to work in Armonk, NY or NYC area. Must be willing to travel up to 75% BENEFITS Health Insurance. Paid time off. Corporate Holidays. Sick leave. Family planning. Financial Guidance. Competitive 401K. Training and Learning. We continue to expand our benefits and programs, offering some of the best support, guidance and coverage for a diverse employee population. ibm.com/employment/us/benefits/ibm.com/press/us/en/pressrelease/50744.wssCAREER GROWTH Our goal is to be essential to the world, which starts with our people. Company wide we kicked off an internal strategy program called Go Organic. At our core, we are committed to believing and investing in our workforce through: Skill development: helping our employees grow their foundational skillsFinding the dream job at IBM: navigating our company with the potential for many careers by channeling an employee’s strengths and career aspirationsDiversity of people: Diversity of thought driving collective innovation In 2015, Go Organic filled approximately 50% of our open positions with internal talent that were promoted into the role. CORPORATE CITIZENSHIP With an employee population of 375,000 in over 170 countries, amazingly we connect, collaborate, and care. IBMers drive a corporate culture of shared responsibility. We love grand challenges and everyday improvements for our company and for the world. We care about each other, our clients, and the communities we live, work, and play in! ibm.com/ibm/responsibility/initiatives.htmlibm.com/ibm/responsibility/corporateservicecorps/(2252)Auto req ID 109110BR Required Education Bachelor's Degree Role ( Job Role ) Strategy Consultant State / Province MULTIPLE Primary job category Consultant Contract type Regular Employment Type Full-Time ERBPBachlelor's Degree in Statistics, Operations Research, Mathematics, Applied Mathematics or similar fieldsAt least 2 years of experience as a strategy consultant or analytical role applying data mining, text analytics, visualization or optimization modelingAt least 2 years of experience in advanced analytics tools (i.e. statistics, machine learning, visualization in languages such as R and Python, SPSS Statistics and Modeler), databases and big data management for both structured and unstructured data (i.e. DB2, SQL, Hadoop, Cloudant, dashDB) and web based visualization (i.e. D3 Javascript and other visualization libraries)Fluent in EnglishSkill-keywords Data Scientist Country United States Preferred Technical and Professional ExperienceMaster's or Ph.D Degree in Statistics, Operations Research, Mathematics, Applied Mathematics or similar fieldsAt least 4 years of experience as a strategy consultant or analytical role applying data mining, text analytics, visualization or optimization modelingAt least 4 years of experience in advanced analytics tools (i.e. statistics, machine learning, visualization in languages such as R and Python, SPSS Statistics and Modeler), databases and big data management for both structured and unstructured data (i.e. DB2, SQL, Hadoop, Cloudant, dashDB) and web based visualization (i.e. D3 Javascript and other visualization libraries)Secondary Job Category Strategy Consultant Eligibility RequirementsNonePosition Type Professional Early Professional Track Not Applicable - Professional Hire New Collar Role No"," 5 days ago"
"8","Data Scientist - Global Center of Competence (CoC)"," IBM"," – Chicago, IL"," IBM Global Business Services (GBS) is a team of business, strategy and technology consultants enabling enterprises to make smarter decisions and providing unparalleled client and consumer experiences in cognitive, data analytics, cloud technology and mobile app development. With global reach, outcome-focused methodologies and deep industry expertise, IBM GBS empowers clients to digitally reinvent their business and get the competitive edge in the cognitive era in over 170 countries.  Bottom line? We outthink ordinary. Discover what you can do at IBM.  The Center of Competence (CoC) is the recognized leader for delivering solutions to clients across all industries and verticals. We combine the latest technologies with the technical depth of IBM and our extensive network of partners to design and implement innovative solutions to our client. We are now expanding our team and looking for Data Scientists who are a recognized authority in their area of expertise and have a proven track record of success.  The Data Scientist is an experienced practitioner in the areas of statistics, data mining and machine learning as applied to numerical, time series and text data. They will help clients understand the potential meaning that can be extracted from a variety of data sources by applying big data analytics, statistics and machine learning techniques. They will further help clients understand how these insights can lead to greater operational efficiency and new business opportunities. A Data Scientist is also responsible for presenting data and results visually in ways that support understanding of the extracted meaning. Key Responsibilities include:Provide quantitative and business analytic skills to develop and implement solutionsDefine key business problems to be solved and formulate mathematical approaches to solve those given problemsForm and maintain trusted relationships with clients and serve as the 'go to' contactApply oral and written communication skills to proposal development, client presentations and deliverable creationCreate software assets that can be deployed as services and redeployed with new clientsCollaborate with subject matter experts and Data Scientists in IBM Research In the CoC, the Data Scientist will have the opportunity to contribute right away to top tier clients in collaboration with others in a dynamic team environment. The Data Scientist will work on projects that help clients integrate strategy and technology to increase effectiveness, reduce costs, and improve profit and shareholder value. The Data Scientist will have an opportunity to build a powerful portfolio of interesting and rewarding experiences.  The ideal candidate will have experiences in at least one of the following areas, with the opportunity to develop and strengthen abilities in other areas: data analytics and modeling, data visualization, business acumen and strategy. You can take advantage of opportunities to master new skills, work across different disciplines and move into new challenges....all at IBM, a company that is at the forefront of tackling the grand challenges that affect our society.  When not traveling nationally and globally, practitioners on this team will report to work in Armonk, NY or NYC area. Must be willing to travel up to 75% BENEFITS Health Insurance. Paid time off. Corporate Holidays. Sick leave. Family planning. Financial Guidance. Competitive 401K. Training and Learning. We continue to expand our benefits and programs, offering some of the best support, guidance and coverage for a diverse employee population. ibm.com/employment/us/benefits/ibm.com/press/us/en/pressrelease/50744.wssCAREER GROWTH Our goal is to be essential to the world, which starts with our people. Company wide we kicked off an internal strategy program called Go Organic. At our core, we are committed to believing and investing in our workforce through: Skill development: helping our employees grow their foundational skillsFinding the dream job at IBM: navigating our company with the potential for many careers by channeling an employee’s strengths and career aspirationsDiversity of people: Diversity of thought driving collective innovation In 2015, Go Organic filled approximately 50% of our open positions with internal talent that were promoted into the role. CORPORATE CITIZENSHIP With an employee population of 375,000 in over 170 countries, amazingly we connect, collaborate, and care. IBMers drive a corporate culture of shared responsibility. We love grand challenges and everyday improvements for our company and for the world. We care about each other, our clients, and the communities we live, work, and play in! ibm.com/ibm/responsibility/initiatives.htmlibm.com/ibm/responsibility/corporateservicecorps/(2252)Auto req ID 109110BR Required Education Bachelor's Degree Role ( Job Role ) Strategy Consultant State / Province MULTIPLE Primary job category Consultant Contract type Regular Employment Type Full-Time ERBPBachlelor's Degree in Statistics, Operations Research, Mathematics, Applied Mathematics or similar fieldsAt least 2 years of experience as a strategy consultant or analytical role applying data mining, text analytics, visualization or optimization modelingAt least 2 years of experience in advanced analytics tools (i.e. statistics, machine learning, visualization in languages such as R and Python, SPSS Statistics and Modeler), databases and big data management for both structured and unstructured data (i.e. DB2, SQL, Hadoop, Cloudant, dashDB) and web based visualization (i.e. D3 Javascript and other visualization libraries)Fluent in EnglishSkill-keywords Data Scientist Country United States Preferred Technical and Professional ExperienceMaster's or Ph.D Degree in Statistics, Operations Research, Mathematics, Applied Mathematics or similar fieldsAt least 4 years of experience as a strategy consultant or analytical role applying data mining, text analytics, visualization or optimization modelingAt least 4 years of experience in advanced analytics tools (i.e. statistics, machine learning, visualization in languages such as R and Python, SPSS Statistics and Modeler), databases and big data management for both structured and unstructured data (i.e. DB2, SQL, Hadoop, Cloudant, dashDB) and web based visualization (i.e. D3 Javascript and other visualization libraries)Secondary Job Category Strategy Consultant Eligibility RequirementsNonePosition Type Professional Early Professional Track Not Applicable - Professional Hire New Collar Role No"," 5 days ago"
"9","Data Scientist"," Rise Interactive"," – Chicago, IL","Overview Rise Interactive (http://www.riseinteractive.com), a rapidly growing full service interactive advertising agency, is looking to hire a Data Scientist, into the Innovation team. We are seeking a detail-oriented, highly motivated individual contributor that is excited about joining a new Innovation department, on a talented, close-knit team and contributing professionally to an entrepreneurial company with an expanding Fortune 500 client base. Summary and Scope Were looking for a Data Scientist to help us build out our personalized marketing and analytics platforms. Our platform processes billions of records today and were just getting started. Our goal is to find data scientist with hands-on coding skills, not only just research and analytical skills. This is an individual contributor role that is expected to contribute to production solutions in addition to leading and teaching others on the team, and communicating results to business stakeholders. This position will be involved in the entire data science solution pipeline from end-to-end. Why RiseFast growing company with an expanding list of Fortune 500 clientsCompetitive Salary and Benefits PackageCasual Work EnvironmentGreat Opportunities for GrowthEqual Opportunity EmployerResponsibilities We operate a cross-functional team that specializes when needed but aims to have everyone able to contribute. Duties of the Data Scientist include: Collaborate with stakeholders, executives and subject matter expertsDevelop innovative experiment designs, modeling methodologies, real-time recommendation, and machine learning approaches to measure our advertising targeting for optimization and forecastingIdentify, generate, and select modeling features from various structured and semi-structured data setsTrain and build machine learning models to meet business goalsInnovate new machine learning techniques to address business needsEmbrace and assist in evolving our Agile (Scrum) team processes and data science role responsibilitiesOwn the discover, delivery, evolution, and maintenance of models and data science solutionsDesign A/B and multivariate testsExplain the what and why of particular steps in your analysis or machine learning solution to othersNaturally inquisitive and possess strong conceptual skillsRequired SkillsExperience managing end-to-end machine learning pipeline from data exploration, feature engineering, model building, performance evaluation, and online testing with TB to PB sized data setsStrong understanding of statistics, predictive modeling, multivariate analysis, machine learning and information retrievalSmart, high aptitude to learn new things and sense of urgency to get things done2+ years of experience working with large amounts of real dataAble to program in languages such as Python, SQL, SparkML, R, SASExperience with data visualization tools like Tableau, D3, ShinyExperience writing advanced queries for large, semi-structured datasets with tools like Hadoop, Hive, Spark, MapReduce, and NoSQL technologiesExcellent communication is essential in this role -- experience communicating with diverse teams including data scientists, engineers, devops, product managers, and executive managementExperience working in cloud-only infrastructure, especially Amazon Web ServicesA strong passion for empirical research and answering hard questionsTeam player demonstrated experience on a few teams that have shipped a productProfessional developer experienced with source control (Git) and bug trackingPractical-minded chooses stability/reliability/maintainability over shiny new objectsPassionate about technology ideally you build things outside of work for funMust be totally comfortable at the command lineExperience delivering data products in the marketing, ad tech space is also a plus.Indicates required field"," 8 days ago"
"10","Data Scientist"," Rise Interactive"," – Chicago, IL","Overview Rise Interactive (http://www.riseinteractive.com), a rapidly growing full service interactive advertising agency, is looking to hire a Data Scientist, into the Innovation team. We are seeking a detail-oriented, highly motivated individual contributor that is excited about joining a new Innovation department, on a talented, close-knit team and contributing professionally to an entrepreneurial company with an expanding Fortune 500 client base. Summary and Scope Were looking for a Data Scientist to help us build out our personalized marketing and analytics platforms. Our platform processes billions of records today and were just getting started. Our goal is to find data scientist with hands-on coding skills, not only just research and analytical skills. This is an individual contributor role that is expected to contribute to production solutions in addition to leading and teaching others on the team, and communicating results to business stakeholders. This position will be involved in the entire data science solution pipeline from end-to-end. Why RiseFast growing company with an expanding list of Fortune 500 clientsCompetitive Salary and Benefits PackageCasual Work EnvironmentGreat Opportunities for GrowthEqual Opportunity EmployerResponsibilities We operate a cross-functional team that specializes when needed but aims to have everyone able to contribute. Duties of the Data Scientist include: Collaborate with stakeholders, executives and subject matter expertsDevelop innovative experiment designs, modeling methodologies, real-time recommendation, and machine learning approaches to measure our advertising targeting for optimization and forecastingIdentify, generate, and select modeling features from various structured and semi-structured data setsTrain and build machine learning models to meet business goalsInnovate new machine learning techniques to address business needsEmbrace and assist in evolving our Agile (Scrum) team processes and data science role responsibilitiesOwn the discover, delivery, evolution, and maintenance of models and data science solutionsDesign A/B and multivariate testsExplain the what and why of particular steps in your analysis or machine learning solution to othersNaturally inquisitive and possess strong conceptual skillsRequired SkillsExperience managing end-to-end machine learning pipeline from data exploration, feature engineering, model building, performance evaluation, and online testing with TB to PB sized data setsStrong understanding of statistics, predictive modeling, multivariate analysis, machine learning and information retrievalSmart, high aptitude to learn new things and sense of urgency to get things done2+ years of experience working with large amounts of real dataAble to program in languages such as Python, SQL, SparkML, R, SASExperience with data visualization tools like Tableau, D3, ShinyExperience writing advanced queries for large, semi-structured datasets with tools like Hadoop, Hive, Spark, MapReduce, and NoSQL technologiesExcellent communication is essential in this role -- experience communicating with diverse teams including data scientists, engineers, devops, product managers, and executive managementExperience working in cloud-only infrastructure, especially Amazon Web ServicesA strong passion for empirical research and answering hard questionsTeam player demonstrated experience on a few teams that have shipped a productProfessional developer experienced with source control (Git) and bug trackingPractical-minded chooses stability/reliability/maintainability over shiny new objectsPassionate about technology ideally you build things outside of work for funMust be totally comfortable at the command lineExperience delivering data products in the marketing, ad tech space is also a plus.Indicates required field"," 8 days ago"
