,job_title,company,location,description,age
1,Data Scientist, eBay Inc.,"San Francisco, CA","Looking for a company that inspires passion, courage and imagination, where you can be part of the team shaping the future of global commerce? Want to shape how millions of people buy, sell, connect, and share around the world? If youre interested in joining a purpose driven community that is dedicated to creating an ambitious and inclusive workplace, join eBay a company you can be proud to be a part of.Like to shake things up? We do! eBay hires innovators who can push boundaries and change the world. Put on your entrepreneurial hat, roll up your sleeves and dive head first into eBays extensive pools of data. Come with an analytical mindset and a passion for delivering on business goals. Help eBay take data to the next level.We are looking for a motivated software engineeri with a focus on machine learning and data science to build robust and scalable software and draw insights from massive data sets. We want the highest levels of technical talent and programming skills, as well as a keen desire to deeply understand our products and services to push our technology forward. Youll work alongside the best and the brightest engineering talent in the industry.You are:-Insightful. Be able to draw conclusions from large sets of data, and help drive business decisions with numbers-oriented thinking-Resourceful. Have the ability to do a lot with a little. Be able to aggregate information from various places and build relationships with key stakeholders to get the data you need.-Tech Savvy. Master your tools, and continue to expand your systems knowledge through formal or informal research and training.We need:-An excel connoisseur. Know excel backwards and forwards, and be comfortable with using advanced techniques to collect, display and interpret data.-SQL expertise. Proficiency in SQL is required. R, Python, Java, and/or C++ are a bonus-NoSQL Tools. Have familiarity with at least one NoSQL tool; Hadoop, Hive, Pig, Spark, H2O, etc.-A data miner. Be able to extract patterns from large sets of data in order to deliver business insights from dataBasic Qualifications-Completed a Master's degree from an accredited College or University in Computer Science, Statistics, or related major and have several years of relevant working experience or have a PhD specifically studing AI, ML, or Data Science.-Strong applied experience-Creative thinker who knows how to create real-world products-Curate, Acquire & Maintain DataSets-Create and Manage data in traditional and non-traditional ways.-Develop processes using Java, Scala, SQL, Shell etc.-Share engineering support, release & on call.-Estimate, plan & rollout changes-Key skills: SQL, Java, Python, NoSQL tool ie: Hadoop, Pig ,Spark, H2O etc.-Available to work in one of the following locations:-San Jose, CA-San Francisco, CA-Brisbane, CA-Bellevue, WA-Portland, OR-New York, NYDisclaimer: Please note that by applying to this role, you are agreeing to be considered for multiple positions. This is a general description of the qualifications and skills required for positions of this type of role.This website uses cookies to enhance your experience. By continuing to browse the site, you agree to our use of cookiesView our privacy policyView our accessibility info R0019678-4", 4 days ago
2,Data Scientist, eBay Inc.,"San Francisco, CA","Looking for a company that inspires passion, courage and imagination, where you can be part of the team shaping the future of global commerce? Want to shape how millions of people buy, sell, connect, and share around the world? If youre interested in joining a purpose driven community that is dedicated to creating an ambitious and inclusive workplace, join eBay a company you can be proud to be a part of.Like to shake things up? We do! eBay hires innovators who can push boundaries and change the world. Put on your entrepreneurial hat, roll up your sleeves and dive head first into eBays extensive pools of data. Come with an analytical mindset and a passion for delivering on business goals. Help eBay take data to the next level.We are looking for a motivated software engineeri with a focus on machine learning and data science to build robust and scalable software and draw insights from massive data sets. We want the highest levels of technical talent and programming skills, as well as a keen desire to deeply understand our products and services to push our technology forward. Youll work alongside the best and the brightest engineering talent in the industry.You are:-Insightful. Be able to draw conclusions from large sets of data, and help drive business decisions with numbers-oriented thinking-Resourceful. Have the ability to do a lot with a little. Be able to aggregate information from various places and build relationships with key stakeholders to get the data you need.-Tech Savvy. Master your tools, and continue to expand your systems knowledge through formal or informal research and training.We need:-An excel connoisseur. Know excel backwards and forwards, and be comfortable with using advanced techniques to collect, display and interpret data.-SQL expertise. Proficiency in SQL is required. R, Python, Java, and/or C++ are a bonus-NoSQL Tools. Have familiarity with at least one NoSQL tool; Hadoop, Hive, Pig, Spark, H2O, etc.-A data miner. Be able to extract patterns from large sets of data in order to deliver business insights from dataBasic Qualifications-Completed a Master's degree from an accredited College or University in Computer Science, Statistics, or related major and have several years of relevant working experience or have a PhD specifically studing AI, ML, or Data Science.-Strong applied experience-Creative thinker who knows how to create real-world products-Curate, Acquire & Maintain DataSets-Create and Manage data in traditional and non-traditional ways.-Develop processes using Java, Scala, SQL, Shell etc.-Share engineering support, release & on call.-Estimate, plan & rollout changes-Key skills: SQL, Java, Python, NoSQL tool ie: Hadoop, Pig ,Spark, H2O etc.-Available to work in one of the following locations:-San Jose, CA-San Francisco, CA-Brisbane, CA-Bellevue, WA-Portland, OR-New York, NYDisclaimer: Please note that by applying to this role, you are agreeing to be considered for multiple positions. This is a general description of the qualifications and skills required for positions of this type of role.This website uses cookies to enhance your experience. By continuing to browse the site, you agree to our use of cookiesView our privacy policyView our accessibility info R0019678-4", 4 days ago
3,Data Scientist, Sitecore,"Sausalito, CA"," Sitecore is the global leader in experience management software that enables context marketing. The SitecoreÂ® Experience Platformâ„¢ manages content, supplies contextual intelligence, automates communications, and enables personalized commerce, at scale. It empowers marketers to deliver content in context of how customers have engaged with their brand, across every channel, in real timeâ€”before, during, and after a sale. More than 4,900 brandsâ€“â€“including American Express, Carnival Cruise Lines, easyJet, and Lâ€™OrÃ©alâ€“â€“ have trusted Sitecore for context marketing to deliver the personalized interactions that delight audiences, build loyalty, and drive revenue. This position can be located in London (England), Copenhagen (Denmark), Ottawa (Canada) or the San Francisco Bay Area (US).Description With Sitecoreâ€™s success as a market-leading, global software company, we need people to join our team around the world. We are currently looking for a highly skilled and experienced data scientist to join the Product Development team and contribute to Sitecoreâ€™s vision of enabling our customers to own the experience.  You will join a dynamic, international and cutting-edge organization with high growth rates and highly motivated employees. About the job As a seasoned data scientist and a leader in your field, you will be working as part of a team to define and execute data science solutions.  You will proactively lead machine learning research in the Product Engineering team, by collaborating closely with product management teams to operationalize your R models and algorithms into product features. Your responsibilitiesAnalyze customer data sets to define/determine algorithms which enable highly relevant personalization, predictions, and other insightsBuild and train machine learning modelsInterpret data and trends, and present product feature recommendations for the ML product roadmapWork with implementation teams to operationalize your R models and algorithms into .NET based product featuresInform, influence, support, and execute our product decisions and product launchesValidate and test algorithms written in .NET (C#) by development teamsYour qualifications2+ year working in a professional environment analyzing large data sets and applying multiple ML modelsModeling and predictive analytics skills and experience, including multivariate data mining and machine learning techniquesFluency with R or equivalent requiredMS in Statistics, Computer Science, Math, Economics, or equivalent quantitative, data-intensive discipline. Phd desirable.NET experience not required but a plus. Should be able to pseudo-code to validate the algorithmsGood English skills and the ability to thrive in a multinational environmentSitecore offers We will give you the opportunity to work with highly skilled and passionate developers in a dynamic, international and fun work environment. We are an organization where suggestions are welcome, and your influence is embodied in the final product. Sitecore is an open-minded company with great opportunities for personal development.  Sitecore is proud to be an equal opportunity workplace. We are committed to equal employment opportunity without unlawful regard to race, color, ancestry, religion, gender, national origin, sexual orientation, age, citizenship, marital status, disability, veteran status or any other local legally protected characteristic.", 26 days ago
4,Data Scientist, Sitecore,"Sausalito, CA"," Sitecore is the global leader in experience management software that enables context marketing. The SitecoreÂ® Experience Platformâ„¢ manages content, supplies contextual intelligence, automates communications, and enables personalized commerce, at scale. It empowers marketers to deliver content in context of how customers have engaged with their brand, across every channel, in real timeâ€”before, during, and after a sale. More than 4,900 brandsâ€“â€“including American Express, Carnival Cruise Lines, easyJet, and Lâ€™OrÃ©alâ€“â€“ have trusted Sitecore for context marketing to deliver the personalized interactions that delight audiences, build loyalty, and drive revenue. This position can be located in London (England), Copenhagen (Denmark), Ottawa (Canada) or the San Francisco Bay Area (US).Description With Sitecoreâ€™s success as a market-leading, global software company, we need people to join our team around the world. We are currently looking for a highly skilled and experienced data scientist to join the Product Development team and contribute to Sitecoreâ€™s vision of enabling our customers to own the experience.  You will join a dynamic, international and cutting-edge organization with high growth rates and highly motivated employees. About the job As a seasoned data scientist and a leader in your field, you will be working as part of a team to define and execute data science solutions.  You will proactively lead machine learning research in the Product Engineering team, by collaborating closely with product management teams to operationalize your R models and algorithms into product features. Your responsibilitiesAnalyze customer data sets to define/determine algorithms which enable highly relevant personalization, predictions, and other insightsBuild and train machine learning modelsInterpret data and trends, and present product feature recommendations for the ML product roadmapWork with implementation teams to operationalize your R models and algorithms into .NET based product featuresInform, influence, support, and execute our product decisions and product launchesValidate and test algorithms written in .NET (C#) by development teamsYour qualifications2+ year working in a professional environment analyzing large data sets and applying multiple ML modelsModeling and predictive analytics skills and experience, including multivariate data mining and machine learning techniquesFluency with R or equivalent requiredMS in Statistics, Computer Science, Math, Economics, or equivalent quantitative, data-intensive discipline. Phd desirable.NET experience not required but a plus. Should be able to pseudo-code to validate the algorithmsGood English skills and the ability to thrive in a multinational environmentSitecore offers We will give you the opportunity to work with highly skilled and passionate developers in a dynamic, international and fun work environment. We are an organization where suggestions are welcome, and your influence is embodied in the final product. Sitecore is an open-minded company with great opportunities for personal development.  Sitecore is proud to be an equal opportunity workplace. We are committed to equal employment opportunity without unlawful regard to race, color, ancestry, religion, gender, national origin, sexual orientation, age, citizenship, marital status, disability, veteran status or any other local legally protected characteristic.", 26 days ago
5,Data Scientist: Model Development Group, Carbon Lighthouse,"San Francisco, CA"," Data Scientist: Model Development Group Target Start Date: November 2017 Reports To: Director of Engineering | Model Development Group Location: San Francisco, CA  Carbon Lighthouse is looking for driven and curious Data Scientists to join our Model Development Group, the team responsible for creating and implementing the energy modeling content in our technology platform.  Weâ€™re looking for people to both innovate and expand our technology and energy service by creating models that enables our internal Engineering users to analyze and quantify energy opportunities. This role encompasses building scalable machine learning models and solving difficult data science problems to improve the accuracy, speed, and scope of our technology. Data Scientists in the Model Development Group directly influence our operations, focusing on improvements like: identifying and specifying data requirements, implementing methods that automate detecting patterns and events, and determining relevant variables and their values for modeling and forecasting purposes. The Data Scientists work closely with both our Software Developers as well as users in the Energy Modeling Group to define modeling needs and deliver a better solution.  The ideal candidate has professional or graduate school experience in statistics, computer science, engineering, or equivalent positions, which required using deep expertise with statistical data analysis and machine learning such as linear models, predictive models, classification models, and sampling methods. This person genuinely enjoys working on collaborative teams, and wants to be involved in large-scale challenges that require long-term persistence. While the role involves significant computational modeling work, this candidate also loves connecting models to the real world.  The role will be based out of San Francisco and may require occasional travel to our NYC office or some client sites. About Carbon Lighthouse: Carbon Lighthouse is on a mission to stop climate change by making it easy and profitable for building owners to eliminate carbon emissions caused by wasted energy. The companyâ€™s unique approach to Efficiency Production goes deep into buildings to uncover and continuously correct hidden inefficiencies that add up to meaningful financial value and carbon elimination that lasts. Since 2010, commercial real estate, educational, hospitality and industrial customers nationwide have chosen Carbon Lighthouse to enhance building comfort, increase net operating income and achieve their sustainability goals.  We are a team that highly value question asking, getting it done, integrity, and teamwork. We appreciate a fulfilling work-life balance, prize transparency and communication, hold ourselves to high standards of performance and professionalism, strive for dynamism and innovation, and support our team membersâ€™ professional development. Responsibilities:Develop machine learning content in CLUES (our proprietary application) to quantify the energy, environmental, and financial opportunity in various building energy systems. Leverage deep statistics knowledge to measure the quality of a model and understand the risks associated with errors and uncertainties. Apply methodologies both to static and real time data sets.Identify data requirements that balance accuracy with timeline limitations.Develop new methodologies and better data sets that increase savings, improve accuracy, reduce timelines, and save user â€˜brainspaceâ€™.Solve statistics problems that require understanding and using a variety of data science and engineering principles, and implement the solution in a computational environment.Work closely with Software Developers to implement fault detection, forecasting, and machine learning models within the CLUES software platform.Work closely with our Energy Modeling Group users to identify opportunities to improve scope, algorithms, or interface. Be able to analyze complex energy data with users to determine the quantitative and statistical relationships of complex building systems. Support users during model execution and troubleshooting, and be able to incorporate feedback into model development.Work in a cross-functional team environment where asking questions and challenging assumptions is necessary due to complex and multi-disciplinary problems.Required Qualifications:Dedication to Carbon Lighthouseâ€™s environmental mission.BS in Statistics, Computer Science, Engineering, Physics, Mathematics (or similar technical field).Proven track record of implementing data science techniques within a programming language (Python, R, etc.), or similar work.3+ years work experience and/or equivalent graduate work.Excellent question asker and communicator, and enjoys working on teams.Demonstrated experience solving complex and open-ended engineering challenges: Able to determine an objective, or multi-dimensional objectives.Able to determine data, knowledge, or methodology gaps.Able to represent reality in a computational environment.Able to create a solution, fail, and iterate.Can make judgments of risks and assumptions.Can make logical conclusions, with an understanding of relative strengths and weaknesses.Able to clearly communicate conclusions.Bonus Qualifications:Graduate degree (MS or PhD) in technical and related field.Conversant with data science libraries within Python.Advanced understanding of statistics.Exposure to HVAC system and modeling.Experience with optimization methods in computational modeling.Technical sales of any kind.Compensation and Benefits:Salary + equityMedical, dental and vision insuranceGenerous vacation policyFully paid maternity and paternity leave benefitsSubsidized public transit and bike to work benefits401(k) If youâ€™re excited about our environmental mission and this looks like a fit, you should apply! Please fill out the brief application form at carbonlighthouse.com/about-us/careers and be prepared to submit three references at a later date.  We are an equal opportunity employer and we look forward to hearing from you.", 8 days ago
6,Data Scientist: Model Development Group, Carbon Lighthouse,"San Francisco, CA"," Data Scientist: Model Development Group Target Start Date: November 2017 Reports To: Director of Engineering | Model Development Group Location: San Francisco, CA  Carbon Lighthouse is looking for driven and curious Data Scientists to join our Model Development Group, the team responsible for creating and implementing the energy modeling content in our technology platform.  Weâ€™re looking for people to both innovate and expand our technology and energy service by creating models that enables our internal Engineering users to analyze and quantify energy opportunities. This role encompasses building scalable machine learning models and solving difficult data science problems to improve the accuracy, speed, and scope of our technology. Data Scientists in the Model Development Group directly influence our operations, focusing on improvements like: identifying and specifying data requirements, implementing methods that automate detecting patterns and events, and determining relevant variables and their values for modeling and forecasting purposes. The Data Scientists work closely with both our Software Developers as well as users in the Energy Modeling Group to define modeling needs and deliver a better solution.  The ideal candidate has professional or graduate school experience in statistics, computer science, engineering, or equivalent positions, which required using deep expertise with statistical data analysis and machine learning such as linear models, predictive models, classification models, and sampling methods. This person genuinely enjoys working on collaborative teams, and wants to be involved in large-scale challenges that require long-term persistence. While the role involves significant computational modeling work, this candidate also loves connecting models to the real world.  The role will be based out of San Francisco and may require occasional travel to our NYC office or some client sites. About Carbon Lighthouse: Carbon Lighthouse is on a mission to stop climate change by making it easy and profitable for building owners to eliminate carbon emissions caused by wasted energy. The companyâ€™s unique approach to Efficiency Production goes deep into buildings to uncover and continuously correct hidden inefficiencies that add up to meaningful financial value and carbon elimination that lasts. Since 2010, commercial real estate, educational, hospitality and industrial customers nationwide have chosen Carbon Lighthouse to enhance building comfort, increase net operating income and achieve their sustainability goals.  We are a team that highly value question asking, getting it done, integrity, and teamwork. We appreciate a fulfilling work-life balance, prize transparency and communication, hold ourselves to high standards of performance and professionalism, strive for dynamism and innovation, and support our team membersâ€™ professional development. Responsibilities:Develop machine learning content in CLUES (our proprietary application) to quantify the energy, environmental, and financial opportunity in various building energy systems. Leverage deep statistics knowledge to measure the quality of a model and understand the risks associated with errors and uncertainties. Apply methodologies both to static and real time data sets.Identify data requirements that balance accuracy with timeline limitations.Develop new methodologies and better data sets that increase savings, improve accuracy, reduce timelines, and save user â€˜brainspaceâ€™.Solve statistics problems that require understanding and using a variety of data science and engineering principles, and implement the solution in a computational environment.Work closely with Software Developers to implement fault detection, forecasting, and machine learning models within the CLUES software platform.Work closely with our Energy Modeling Group users to identify opportunities to improve scope, algorithms, or interface. Be able to analyze complex energy data with users to determine the quantitative and statistical relationships of complex building systems. Support users during model execution and troubleshooting, and be able to incorporate feedback into model development.Work in a cross-functional team environment where asking questions and challenging assumptions is necessary due to complex and multi-disciplinary problems.Required Qualifications:Dedication to Carbon Lighthouseâ€™s environmental mission.BS in Statistics, Computer Science, Engineering, Physics, Mathematics (or similar technical field).Proven track record of implementing data science techniques within a programming language (Python, R, etc.), or similar work.3+ years work experience and/or equivalent graduate work.Excellent question asker and communicator, and enjoys working on teams.Demonstrated experience solving complex and open-ended engineering challenges: Able to determine an objective, or multi-dimensional objectives.Able to determine data, knowledge, or methodology gaps.Able to represent reality in a computational environment.Able to create a solution, fail, and iterate.Can make judgments of risks and assumptions.Can make logical conclusions, with an understanding of relative strengths and weaknesses.Able to clearly communicate conclusions.Bonus Qualifications:Graduate degree (MS or PhD) in technical and related field.Conversant with data science libraries within Python.Advanced understanding of statistics.Exposure to HVAC system and modeling.Experience with optimization methods in computational modeling.Technical sales of any kind.Compensation and Benefits:Salary + equityMedical, dental and vision insuranceGenerous vacation policyFully paid maternity and paternity leave benefitsSubsidized public transit and bike to work benefits401(k) If youâ€™re excited about our environmental mission and this looks like a fit, you should apply! Please fill out the brief application form at carbonlighthouse.com/about-us/careers and be prepared to submit three references at a later date.  We are an equal opportunity employer and we look forward to hearing from you.", 8 days ago
7,Data Scientist, Databricks,"San Francisco, CA","At Databricks, we make Big Data simple. The state-of-the-art in Big Data is ""simple things complex, complex things impossible."" We think the future should be ""simple things easy, and complex things possible."" Join us and work with world's leading experts in distributed systems, databases, and networking to help build a next-generation Big Data platform that users love.As a data scientist in the data team you will use Databricks to process and analyze Databricks customer usage data, and define correct user engagement metrics that help shape our product better. You will also conduct exploratory data analysis and share interesting insights with the company. Your work will directly influence the companyâ€™s core strategy, future product decisions, and interactions with customers. Join us and work closely with world's leading experts in distributed systems to build a next-generation big data platform that users love.Databricks was founded out of the UC Berkeley AMPLab by the creators of Apache Spark. Weâ€™ve been working for the past six years on cutting-edge systems to extract value from Big Data. We are the winners of the Daytona GraySort making us the fastest big data system on the market. We set a new record sorting 100TB of data 3X faster using 10X fewer machines. We have built a team of the best minds in the world in the field of big data. We have just begun to change the landscape of big data, and we are looking someone equally passionate to grow with us. Databricks is venture-backed by Andreessen Horowitz and NEA.REQUIREMENTS Strong desire to work at a rapidly growing startup.Knowledge of data processing and applied statistics.Proficient in data analysis and visualization using R or PyData.Familiar with SQL and databases like MySQL or PostgreSQL.Experience with distributed data processing systems like Spark and Hadoop.General-purpose languages such as Python and Scala.Desire to explore lots of data to find unexpected insights.Strong communication and presentation skills.PLUSES Advanced degrees in statistics, computer science, math, or similar fields.Familiarity with interactive data visualization using tools like D3.js.BENEFITS Medical, dental, vision401k Retirement PlanUnlimited Paid Time OffCatered lunch (everyday), snacks and drinksGym reimbursementEmployee referral bonus programAwesome coworkersMaternity and paternity plans", 6 days ago
8,Data Scientist, Databricks,"San Francisco, CA","At Databricks, we make Big Data simple. The state-of-the-art in Big Data is ""simple things complex, complex things impossible."" We think the future should be ""simple things easy, and complex things possible."" Join us and work with world's leading experts in distributed systems, databases, and networking to help build a next-generation Big Data platform that users love.As a data scientist in the data team you will use Databricks to process and analyze Databricks customer usage data, and define correct user engagement metrics that help shape our product better. You will also conduct exploratory data analysis and share interesting insights with the company. Your work will directly influence the companyâ€™s core strategy, future product decisions, and interactions with customers. Join us and work closely with world's leading experts in distributed systems to build a next-generation big data platform that users love.Databricks was founded out of the UC Berkeley AMPLab by the creators of Apache Spark. Weâ€™ve been working for the past six years on cutting-edge systems to extract value from Big Data. We are the winners of the Daytona GraySort making us the fastest big data system on the market. We set a new record sorting 100TB of data 3X faster using 10X fewer machines. We have built a team of the best minds in the world in the field of big data. We have just begun to change the landscape of big data, and we are looking someone equally passionate to grow with us. Databricks is venture-backed by Andreessen Horowitz and NEA.REQUIREMENTS Strong desire to work at a rapidly growing startup.Knowledge of data processing and applied statistics.Proficient in data analysis and visualization using R or PyData.Familiar with SQL and databases like MySQL or PostgreSQL.Experience with distributed data processing systems like Spark and Hadoop.General-purpose languages such as Python and Scala.Desire to explore lots of data to find unexpected insights.Strong communication and presentation skills.PLUSES Advanced degrees in statistics, computer science, math, or similar fields.Familiarity with interactive data visualization using tools like D3.js.BENEFITS Medical, dental, vision401k Retirement PlanUnlimited Paid Time OffCatered lunch (everyday), snacks and drinksGym reimbursementEmployee referral bonus programAwesome coworkersMaternity and paternity plans", 6 days ago
9,Senior Data Scientist, Wheelhouse (California),"San Francisco, CA","About Wheelhouse: We're building a data-driven hospitality company, and data science is the foundation of our success.  Over the last 2.5 years, our team has worked to develop the world's most accurate pricing engine for short-term rentals. We use this pricing engine to power an increasing set of product lines, including Wheelhouse Pricing. Building this pricing engine required (and still requires) us to borrow from a wide range of statistics and ML approaches, including methodologies we found in bio-sciences and other distributed realms.  Now, we're looking to add another data scientist who is passionate about building interpretable machine learning models, and taking them from research to production. These models help our software customers price their homes accurately, and also serve as the foundation of our relationships with many of the world's largest real estate companies.  Our data science team is closely integrated with the engineering team, and we are not shy of full stack tasks from DevOps to front-end integrations. We use open source and homegrown tools in a cloud environment to build the data-driven foundation of all our products.  We currently use Postgres, Redis, R, Ruby/Rails, React, AWS - so in depth experience in any of these areas is definitely a plus. But weâ€™re always open to new technologies and are just as eager to learn as you are. About you:You have experience with building regression, classification, and recommender systemsYou have been working with large datasets in distributed systems and a constrained environmentYou know a breadth of machine learning algorithms and love to find the best approach to a specific problemYou have the engineering skills to write production ready codeYou have experience in SQL and are excited to optimize your queries but also know how to map-reduce the dataYou like to tell others about your data findings and explain why your models workYou think it sounds fun to write a clustering algorithm from scratch, but you also know how to pick the right tool for the job at handYou want to collaborate with data scientists, software engineers, and product teamsYou are eager to learn new programming languages and tools and to try them outYou appreciate the importance of creating robust quality control processes for you models and dataYou love when your work has an immediate impact on real-world resultsYou like to work autonomously and have no problem finding the most relevant projects to work onWithin 30 days, you will...Meet your new teammates, learn what they do and what makes Wheelhouse a special place to workLearn about our core values, mission, vision and company goals, and how theyâ€™ve influenced our culture to dateGet to know our current data infrastructure and take ownership of our market intelligence toolDeploy production ready code and testsStart improving our booking classification systemWithin 3 months, you will...Have a full understanding of our data architecture and recommendation engineIndependently build new features in collaboration with our product teamAdvance & test novel solutions for improving our ability to customize price recommendations for any listing based on that listingâ€™s unique booking historyOwn the analytic and reporting features for the next generation of Wheelhouse pricing for professionalsWithin 6 months, you will...Independently work on additions to our recommendation engineBuild a collaborative recommendation engine that allows our users to share knowledgeImplement a new and improved model to recommend the competitive set of a listing", 4 days ago
10,Senior Data Scientist, Wheelhouse (California),"San Francisco, CA","About Wheelhouse: We're building a data-driven hospitality company, and data science is the foundation of our success.  Over the last 2.5 years, our team has worked to develop the world's most accurate pricing engine for short-term rentals. We use this pricing engine to power an increasing set of product lines, including Wheelhouse Pricing. Building this pricing engine required (and still requires) us to borrow from a wide range of statistics and ML approaches, including methodologies we found in bio-sciences and other distributed realms.  Now, we're looking to add another data scientist who is passionate about building interpretable machine learning models, and taking them from research to production. These models help our software customers price their homes accurately, and also serve as the foundation of our relationships with many of the world's largest real estate companies.  Our data science team is closely integrated with the engineering team, and we are not shy of full stack tasks from DevOps to front-end integrations. We use open source and homegrown tools in a cloud environment to build the data-driven foundation of all our products.  We currently use Postgres, Redis, R, Ruby/Rails, React, AWS - so in depth experience in any of these areas is definitely a plus. But weâ€™re always open to new technologies and are just as eager to learn as you are. About you:You have experience with building regression, classification, and recommender systemsYou have been working with large datasets in distributed systems and a constrained environmentYou know a breadth of machine learning algorithms and love to find the best approach to a specific problemYou have the engineering skills to write production ready codeYou have experience in SQL and are excited to optimize your queries but also know how to map-reduce the dataYou like to tell others about your data findings and explain why your models workYou think it sounds fun to write a clustering algorithm from scratch, but you also know how to pick the right tool for the job at handYou want to collaborate with data scientists, software engineers, and product teamsYou are eager to learn new programming languages and tools and to try them outYou appreciate the importance of creating robust quality control processes for you models and dataYou love when your work has an immediate impact on real-world resultsYou like to work autonomously and have no problem finding the most relevant projects to work onWithin 30 days, you will...Meet your new teammates, learn what they do and what makes Wheelhouse a special place to workLearn about our core values, mission, vision and company goals, and how theyâ€™ve influenced our culture to dateGet to know our current data infrastructure and take ownership of our market intelligence toolDeploy production ready code and testsStart improving our booking classification systemWithin 3 months, you will...Have a full understanding of our data architecture and recommendation engineIndependently build new features in collaboration with our product teamAdvance & test novel solutions for improving our ability to customize price recommendations for any listing based on that listingâ€™s unique booking historyOwn the analytic and reporting features for the next generation of Wheelhouse pricing for professionalsWithin 6 months, you will...Independently work on additions to our recommendation engineBuild a collaborative recommendation engine that allows our users to share knowledgeImplement a new and improved model to recommend the competitive set of a listing", 4 days ago
