job_title,company,location,description,age
Data Scientist, Senior Whole Health," Â â€“Â Cambridge, MA","I. Position Summary: The  Data Scientist role is responsible for modeling complex business problems,  discovering insights and identifying opportunities through the use of the  latest statistical learning, mining and visualization techniques. In addition  to advanced analytic skills, this role is also proficient at integrating and  preparing large, varied datasets, architecting specialized database and  computing environments, and communicating results. This role values creative, critical thinking and  has the ability to solve complex problems with incomplete data and a genuine  curiosity. Working closely with the  leaders of our Finance, Risk Adjustment, and Clinical functions, this role transforms  data into critical information and knowledge that can be used to make sound  organizational decisions that drive improvements in quality of care. II. Essential Functions/Responsibilities:Develop  innovative and effective approaches to solve challenging analytics problems and  uncover opportunities.Identify  what data is available and relevant, collaborate with internal subject matter  experts as needed.Prepare data  sources for consumption and apply advanced data analysis techniques as  appropriate to make discoveries.Design  experiments, test hypotheses and construct models.Validate  and productionize complex machine learning algorithms. Automate, maintain and improve as needed.Present  and depict the rationale of findings in easy to understand terms for business  stake holders.Measure  outcomes and assess the success of programs and intervention efforts implemented  as a result of the analytic work.Stay up  to date in the machine/deep learning community.Contribute  to the team's overall knowledge by educating colleagues and peers about new  functionality and upcoming tools applicable to data science.III. AccountabilityWork  effectively and efficiently with minimal supervision and guidance.Manage  own projects including planning, setting expectations, and providing updates.Programming  code well commented and written using best practices in a clear, consistent and  transparent manner â€“ must be interpretable by others.Responsible  for execution of various processes on regular schedule and meeting all due  dates for deliverables.Maintenance  of processes and accompanying documentation.Always checks  own work and ensures data accuracy throughout any project.Apply  own judgement to analytical and technical issues.Delivery  of ad-hoc analyses as needed.The Data  Scientist reports to the Manager of Advanced Analytics.IV. QualificationsBackground:Masters or equivalent work/academic experience  in mathematics, statistics, computer science, data science or related field.Demonstrated experience (2+ years) using  a variety of machine learning algorithms to build models.Proficiency  in statistical analysis, forecasting/predictive analytics, multivariate  testing, and optimization algorithms.Advanced knowledge of mathematics,  probability and statistics.Experience  interacting with data warehouses and familiarity with data architecture  concepts.Familiarity  with concepts of the healthcare system and attributes of insurance claims  (revenue code, CPT/HCPCS code, date of service, etc.) is preferred but not  necessary.Software and programming knowledge:Demonstrated knowledge of R, Python  and/or SQL. Knowledge of SAS is a plus.Knowledge of shell scripting  languages.Knowledge  of tools required to extract, transform and visualize big data.Proficiency in the use of statistical  packages.Knowledge  of NLP.Overall  strong programmer.Work habits:Strong communication and interpersonal  skills.Strong attention to detail.Self-starter,  dependable.Ability to manage multiple competing  priorities and quickly shift from one project to another when needed.Ability  to present methodology and communicate results in a clear and concise manner.", vor 30+ Tagen
Data Scientist, Senior Whole Health," Â â€“Â Cambridge, MA","I. Position Summary: The  Data Scientist role is responsible for modeling complex business problems,  discovering insights and identifying opportunities through the use of the  latest statistical learning, mining and visualization techniques. In addition  to advanced analytic skills, this role is also proficient at integrating and  preparing large, varied datasets, architecting specialized database and  computing environments, and communicating results. This role values creative, critical thinking and  has the ability to solve complex problems with incomplete data and a genuine  curiosity. Working closely with the  leaders of our Finance, Risk Adjustment, and Clinical functions, this role transforms  data into critical information and knowledge that can be used to make sound  organizational decisions that drive improvements in quality of care. II. Essential Functions/Responsibilities:Develop  innovative and effective approaches to solve challenging analytics problems and  uncover opportunities.Identify  what data is available and relevant, collaborate with internal subject matter  experts as needed.Prepare data  sources for consumption and apply advanced data analysis techniques as  appropriate to make discoveries.Design  experiments, test hypotheses and construct models.Validate  and productionize complex machine learning algorithms. Automate, maintain and improve as needed.Present  and depict the rationale of findings in easy to understand terms for business  stake holders.Measure  outcomes and assess the success of programs and intervention efforts implemented  as a result of the analytic work.Stay up  to date in the machine/deep learning community.Contribute  to the team's overall knowledge by educating colleagues and peers about new  functionality and upcoming tools applicable to data science.III. AccountabilityWork  effectively and efficiently with minimal supervision and guidance.Manage  own projects including planning, setting expectations, and providing updates.Programming  code well commented and written using best practices in a clear, consistent and  transparent manner â€“ must be interpretable by others.Responsible  for execution of various processes on regular schedule and meeting all due  dates for deliverables.Maintenance  of processes and accompanying documentation.Always checks  own work and ensures data accuracy throughout any project.Apply  own judgement to analytical and technical issues.Delivery  of ad-hoc analyses as needed.The Data  Scientist reports to the Manager of Advanced Analytics.IV. QualificationsBackground:Masters or equivalent work/academic experience  in mathematics, statistics, computer science, data science or related field.Demonstrated experience (2+ years) using  a variety of machine learning algorithms to build models.Proficiency  in statistical analysis, forecasting/predictive analytics, multivariate  testing, and optimization algorithms.Advanced knowledge of mathematics,  probability and statistics.Experience  interacting with data warehouses and familiarity with data architecture  concepts.Familiarity  with concepts of the healthcare system and attributes of insurance claims  (revenue code, CPT/HCPCS code, date of service, etc.) is preferred but not  necessary.Software and programming knowledge:Demonstrated knowledge of R, Python  and/or SQL. Knowledge of SAS is a plus.Knowledge of shell scripting  languages.Knowledge  of tools required to extract, transform and visualize big data.Proficiency in the use of statistical  packages.Knowledge  of NLP.Overall  strong programmer.Work habits:Strong communication and interpersonal  skills.Strong attention to detail.Self-starter,  dependable.Ability to manage multiple competing  priorities and quickly shift from one project to another when needed.Ability  to present methodology and communicate results in a clear and concise manner.", 3 days ago
Data Scientist, Maxm Cloud LLC," Â â€“Â Boston, MA"," Job Description- Good knowledge of different data science models Experience sales forecasting and predictive analytics areaGood communication skillOverall Data scientist experience of 3 â€“ 5 yrs.Med Devices knowledge is good to haveTools - R Company DescriptionAt MaxM Professional Services, our people are our strength. We insource professional experts with proven track records in various specialties and industries for high profile healthcare clients. We pride ourselves on being strategic partners to help our customers design and grow their businesses while meeting their objectives through solid performance and cost effective planning. If you have a professional attitude, are accountable, enthusiastic and self-motivated, come join our rapidly expanding team. We offer competitive pay, comprehensive benefits, company paid vacation and 401K.", 4 days ago
Data Scientist, GCP Applied Technologies," Â â€“Â Cambridge, MA"," GCP has developed a new industry subcategory, In-Transit Concrete Management. The companyâ€™s flagship solution in this sub-category is Verifi, a complex electromechanical control system for managing the properties of concrete during delivery. We convert the large data sets generated from these deliveries into simple and useful tools that help our customers run smarter operations and design better concrete. Responsibilities As a data scientist, you will be responsible for discovering and implementing new ways to take advantage of the data to revolutionize the current construction practices. The ideal candidate will be a curious and creative problem solver that seeks out the toughest challenges. You will apply machine-learning techniques to improve real-time measurement, control, and analysis algorithms. You will use data mining and predictive analytics with our high-dimension, multi-source databases to identify unexpected relationships and improve decision-making.  In this role, the candidate will work directly with our software developers, civil engineers, material science experts, marketing managers, and customers to identify research topics and convert your findings into products. You will conduct self-directed research programs and perform ad-hoc data analysis in a fast-paced environment.", 25 days ago
Data Scientist, Beyond Finance," Â â€“Â Boston, MA","About Beyond Finance Beyond Finance is a next generation finance company headquartered in the Boston area of Massachusetts. Were fearlessly taking on the daring goal of providing financial products that are simple, transparent, and that improve peoples lives.  Weve reinvented consumer debt management by heavily investing in data, technology and innovation to provide faster, individually tailored solutions that just work. Our team consists of highly successful thought leaders, entrepreneurs, and innovators in data science, credit, servicing and marketing. Our leadership helped create and grow brands like WebEx, Barclays, Prosper, Avant, Capital One, Chase, and USAA.  Were a team thats laser-focused on solving big problems and dedicated to creating a financial brand consumers love and trust. Its rare to hear people say, I love my financial institution, they have my back. At Beyond Finance, however, our goal is for this to be a common expression among our customers. Why Join Us? We offer competitive compensation, paid medical insurance, and a 401K match.The demand for responsible solutions for dealing with debt have never been stronger. Most of all, it is the people and our culture that make us a great company and a place to work. The Role Beyond Finance is a rapidly growing and evolving company in the FinTech sector. Our ability to use data to define our strategy and direction will separate us from our competition. Through data mining, statistical analysis and experimental design, the Data Scientist be key in establishing the analytical data landscape and strategies that will drive BFs direction.  This position will report to our VP of Business Intelligence and Data Analytics. The Data Scientist role will relocate to Boston between December 2017-March 2018. Responsibilities:Be challenged to solve complex analytical problemsWork with various stakeholders such as senior management, data engineers, and marketing team on the formulation and application of new modeling solutions for a variety of business problemsManipulate large data sets, integrate diverse data sources, data types and data structures into solutionsDevelop analytical approaches to meet business requirements; this involves translating requests into use cases, test cases, preparation of training data sets and iterative algorithm developmentResearch new and advanced predictive modeling techniques as appropriate for a specific solutionPresent results and recommendations to internal and external customersWork with cross-functional teams to develop ideas and execute business plansDevelop solution prototypes and help integrate them with the productWork closely with software development teams to communicate requirements and ensure quality of end-to-end deliverables of developed analytical solutionsContribute to the team knowledge by keeping up with the state-of-the-art in machine learning applied to our domainQualifications:Basic Qualifications and Education Requirements:3-5 years of professional experience as a data scientist or statistical modeler in financial servicesStrong quantitative analytical experience, including hands-on and background in using statistics, regression modeling, neural networks, decision trees, random forest, support vector machine, kernel based methods, clustering and similar methodsMasters degree or higher in Mathematics, Computer Science , Engineering, Operations Research, Statistics or other related disciplineStrong consultative acumen and ability to understand complex analytical solutionsAbility to communicate complex quantitative analysis in a clear, precise, and actionable mannerAbility to create new ideas for analytical solutions to address customer's business issuesProfessional experience with SAS, R, SPSS, MATLAB, Weka, Python, Tableau, and other statistical and machine learning packagesProfessional Skill RequirementsProficient in programming with SAS, R or a similar statistical tool (at least 2 years experience).Exposure to Advanced Analytics and Data MiningStrong SQL skills in Big Data environment a plusFamiliarity with programming languages such as Perl, Python, Scala (or similar scripting language) a plusExperience working with very large datasets, knowledge of distributed computing tools a plusExperience with state of the art machine learning algorithms such as neural networks, support vector machines, ensemble models, kernel-based methods genetic algorithms etc. preferredStrong knowledge of credit bureau data and business problems in financial services and/or telecommunications a plus", 16 days ago
Data Scientist, Amazon," Â â€“Â Cambridge, MA"," Job DescriptionInterested in Amazon Echo? Weâ€™re building the speech and language solutions behind Amazon Echo and other Amazon products and services. Come join us! As a Data Scientist in our Applied Modeling team, you will be responsible for data-driven improvements to our spoken language understanding models. Your work will directly impact our customers in the form of products and services that make use of speech and language technology. You will: Ensure data quality throughout all stages of acquisition and processing, including such areas as data sourcing/collection, ground truth generation, normalization, transformation, cross-lingual alignment/mapping, etc.Clean, analyze and select data to achieve goalsBuild and release models that elevate the customer experience and track impact over timeCollaborate with colleagues from science, engineering and business backgrounds.Present proposals and results in a clear manner backed by data and coupled with actionable conclusionsWork with engineers to develop efficient data querying infrastructure for both offline and online use cases Basic Qualifications Masterâ€™s or PhD in a relevant field2+ years experience with various data analysis and visualization toolsExperience in Perl, Python, or another scripting language; command line usageExperience with various machine learning techniques and parameters that affect their performance Preferred Qualifications Track record of diving into data to discover hidden patterns and of conducting error/deviation analysisAbility to develop experimental and analytic plans for data modeling processes, use of strong baselines, ability to accurately determine cause and effect relationsUnderstanding of relevant statistical measures such as confidence intervals, significance of error measurements, development and evaluation data sets, etc.The motivation to achieve results in a fast-paced environment.Experience with statistical modelling / machine learningStrong attention to detailExceptional level of organizationComfortable working in a fast paced, highly collaborative, dynamic work environmentAbility to think creatively and solve problemsFluency in a foreign language Amazon.com is an Equal Opportunity-Affirmative Action Employer â€“ Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation", 18 days ago
Data Scientist, TrueMotion," Â â€“Â Boston, MA"," As a Data Scientist at TrueMotion, you will help lead the development of models that represent physical phenomena associated with both car movements and human movements, as measured by the sensors and radios found in modern smart phones. We are seeking candidates who are accustomed to solving challenging real-world problems in fast-paced working environments. Ideal candidates will have done a fair amount of data visualization and will have also built highly-scalable production data processing systems. Successful candidates will be able to demonstrate a pragmatic, applied, scientific approach, ideally gained from broad and deep experience in statistics and machine learning. Responsibilities:Modeling driving behaviors and vehicle kinematics to find useful patterns in the data collected via sensors in smartphonesUse and apply knowledge of digital signal processing and data analyticsUse supervised learning, unsupervised learning and active and deep learning techniquesThink critically and creatively about problemsKeep up-to-date with relevant research and implement ideas found in researchCollaborate to develop scalable production implementations of algorithmsTake a principled and scientific approach to R&DDesired skills:Deep understanding of Machine learning algorithmsDeep understanding of statistics and probabilityExperience with deep learning frameworks such as TensorFlow, Keras, Torch, Caffee, etc.Experience with Python machine learning infrastructure (e.g Pandas, NumPy, scikit-learn)Understanding of Digital Signal Processing (DSP)Experience solving real world problemsMinimum of 1 year of professional experience developing classification algorithmsBachelor's degree in electrical engineering, systems engineering, computer science, or a related field requiredMasters degree or Ph.D. preferredPlus:Experience working with Spark, Hadoop or similar Big Data infrastructureAbout Us: At TrueMotion were motivated by three things: working with great people who make it fun to come to work every day, solving hard problems, and making driving safer and more affordable. If youre a positive, organized self starter, then TrueMotion may be for you! Our patented technology precisely determines driver risk via data from a driver's smartphone. Insurance companies draw insights from this data, which is then used to help people become safer drivers and save money on car insurance.  TrueMotion is backed by General Catalyst, Bain Capital Ventures and Lakestar. We are an equal opportunity employer and value diversity. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.", 5 days ago
Data Scientist, KAYAK," Â â€“Â Cambridge, MA","The Position We are looking for a Data Scientist/Analyst to join KAYAK's Analytics team in our Cambridge office. This person should love working on data parsing, analyzing, investigating, interpreting, modeling, and extracting knowledge from large volumes of data. Good candidates would have a passion for processing data to help drive better business decisions in a fast-paced environment. The role would include the following responsibilities: Extract data from databases, write scripts to parse, clean, combine, and process themCreate dashboards and visualizations of processed data, identify trends, anomaliesInvestigate data problems, identify patternsUse predictive analytics and machine learning to create new products or drive business decisionsDraw inferences and conclusions, communicate results through reports, charts, or tablesBasic QualificationsUniversity degree in Computer Science, Engineering, or Math/PhysicsMaster's degree is a plus3+ years professional development experienceSQL and database experience is a must, with Hive/Hadoop a plusGood programming skills with at least one high-level language such as Python, Java, or C/C++Good knowledge of data structures, algorithms, and statisticsKnowledge of Unix shell scriptingKnowledge of Machine Learning would be a plusSoft Skills Team player who likes to engage with colleagues at a professional and personal level. Someone who can handle a high volume of requests with frequent interruptions and prioritize their own work while taking infrastructure and business needs into account. Must have excellent technical communication skills.  Come join the team at KAYAK and help us build the best travel metasearch website in the world! About KAYAK KAYAK is the worldâ€™s leading travel search engine. KAYAK searches other travel sites and shows travelers the information they need to find the right flights, hotels, rental cars and vacation packages. The companyâ€™s website and apps also offer tools to help travelers plan and manage their trip, including price alerts, price forecasts and free itinerary management. Each year, KAYAK processes more than one billion searches for travel information and has more than 40 international sites and 20 languages. KAYAK is an independently managed subsidiary of The Priceline Group. BENEFITS AND PERKS4 weeks paid vacationDay off on your birthdayGenerous retirement plans3 year anniversary travel bonusAwesome health, dental and vision insurance plansFlexible Spending AccountsNo stupid meetingsDrinks, coffee, snacks, games etc.Flexible hoursFree massages from professional masseuseRegular team events/excursions", 6 days ago
Data Scientist, Pluralsight," Â â€“Â Boston, MA"," Data Scientist Boston, MAFull-timeCompany DescriptionPluralsight proudly creates the creators of tomorrow: the people who develop the technology that lifts the human condition. We do this through the tech industry's leading learning platform for serious Developer, IT and Creative professionals. Our team of 700+ innovators serves millions of users across the globe.Job DescriptionThe Opportunity Do you like using data to drive the user experience of products that impact the lives of people everyday? As a Data Scientist dedicated to Pluralsightâ€™s unique adaptive skills measurement engine, you will help us solve novel statistical and data science problems by building and improving recommendation algorithms. You will be a part of an established team of top-notch, collaborative data scientists working on a breadth of problems across the company and you will work within a cross-functional product team that is responsible for one of Pluralsightâ€™s key differentiators. Who you are: You have a strong foundation in Statistics and some experience applying Machine Learning algorithms. You have a creative mindset and excellent critical thinking skills. You know your way around SQL-like databases (e.g. PostGres, Impala, Hive) and even better if have experience with Spark and other big data platforms. You have mastery of R programming and at least some exposure to Python. Regardless of your favorite scientific computing environment, you can flex between the two languages. You can build data visualizations (Shiny apps, D3, Tableau) that appropriately represent data and are effective in their purpose. You provide clear analysis results via markdown or notebooks or the like. You can describe and speak in an approachable way about complex analyses and concepts within a cross-functional team. You are a great â€œanalytic translatorâ€ù. Pluralsightâ€™s skill measurement engine is based on the concepts of Item Response Theory and Player Ranking systems (like Elo, Glicko, or TrueSkill), so some familiarity with those is a plus but not a requirement.What youâ€™ll own: You will be responsible for learning and becoming an expert on our adaptive skills measurement engine, and ensuring its health and performance in current and new use cases. You will iterate and innovate on adaptive learning recommendation algorithms and partner to implement them on the Pluralsight platform. You will propose and design experiments to test new product features and analyze their results. You will serve as a technical expert with Pluralsightâ€™s partners, demonstrating Pluralsightâ€™s ROI based on assessment results. You will also serve as a technical expert and consultant to Pluralsightâ€™s skills measurement teams, leveraging you statistical and analytical skills to answer ad hoc questions.Experience youâ€™ll need: M.S. or Ph.D in Statistics or related field (e.g. Mathematics, Computer Science) Ideally a minimum of 3 years in a data science role, applying statistics and machine learning theories and techniques to business problems Experience working with product development teams and/or with developersWorking At Pluralsight We're committed to a values-driven culture here at Pluralsight and our mission inspires everything we do: Creating Progress Through Technology That Lifts The Human Condition. This is our North Star â€” it's the why and how behind all of our decisions. Since our start in 2004, weâ€™ve chosen to grow in a way that will make our Mission a reality. Weâ€™ve raised over $190 million in funding and acquired five awesome startups (PeepCode, TrainSignal, Tekpub, Digital Tutors, & Code School) that have grown our platform in immense ways. We're growing quickly and we're looking for people who are passionate about making a serious impact on technology -- and the world. We invite you to help us create the future while doing the best work of your life.  Need more inspiration? Take a look at what others are saying on Glassdoor and on social media at #WeArePluralsight. Check out our awards as well, or find who you know on LinkedIn that works at Pluralsight and learn what drives their desire to make the world a better place. And itâ€™s okay to be curious about our benefits- theyâ€™re one great example of our purpose-driven people programs that enable our teams to do amazing work.Additional Information Pluralsight is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status.", 10 days ago
Data Scientist, QuantumBlack," Â â€“Â Boston, MA","Your Experience You will bring an exceptional academic background in a technical field combined with experience in developing and applying data science methods in a business context. You share our curiosity for new methods and technologies, and our enthusiasm for data science challenges. You are able to communicate complex analytics concepts in a clear and concise manner to senior leaders. What You'll DoHelp to drive the analytical scope and method for projects, including formulating and shaping the modelsUse Math, Stats and Machine learning to derive key insights across various industry sectors including sports, pharma, automotive and high-tech.Write highly optimized code to advance our internal Data Science toolboxDevelop world-class data science products for clients as well as for our data science teamWork on complex data sets from some of the worldâ€™s largest organizationsWork in a multi-disciplinary environment mixing highly skilled people in data science, data engineering and designPerhaps most importantly, you will work in one of the largest and most talented data science teams spread across London, Boston and SydneyBuild strong links with the academic world and constantly share ideas and stay ahead of the curve on the latest methodsRequirementsExperience in statistical modelling, machine learning and deep learningExperience in applying data science methods to business problems a plusProgramming experience in at least 2 of the following language: R, Python, Scala, SQL Educated to an MSc or PhD level in the field of Computer Science, Machine Learning, Applied Statistics or MathematicsStrong presentation and communication skills, with a knack for explaining complex analytical concepts to people from other fieldsTeam leadership, mentoring and project management skillsKnowledge of distributed computing or NoSQL technologies is a bonus", 14 days ago
