job_title,company,location,description,age
Data Scientist, Vettery," Â â€“Â New York, NY","Heres the gist: Vettery is a tech company, but what we ultimately do is help people find their dream job. We are looking for self-starters who care about helping people find a job they love! Its pretty simple, we are looking for hungry people with an energy to disrupt an ancient industry, while also enjoying the perks of a growing startup.  Vettery is growing quickly and this role has the potential for huge impact on our trajectory. The focus of the data science team is on digitizing recruiting from candidate sourcing to profile vetting and curation to making the best matches between candidates and companies. Were looking to add a Data Scientist to work on decision support, product optimization, and operation scaling projects across these areas. Youll be reporting directly to our Director of Data Science and working closely with the product and engineering teams. The ideal candidate is a critical thinker and a good communicator who excels in a fast-paced environment. Responsibilities:Build machine learning infrastructure and models (e.g. recommendation engines, statistical models, NLP engines) that drive activity on our platform, scale our business, and enhance the user experienceCollaborate with engineering and product leaders, as well as the co-founders, to frame and tackle a problem, both mathematically and within the business contextDevelop creative solutions to our biggest data science and engineering challengesCommunicate rationale for decisions and findings from analyses to facilitate operation decisionsDesign and track experiments for data science products as well as analyses throughout the organizationIn short, contribute meaningfully on all phases of the data science product lifecycle (exploratory data analysis, model development, model productionizing, rollout, and evaluation)Requirements:Ph.D. in Statistics, Operations Research, Mathematics, Computer Science, or other quantitative field2+ years of industry experience delivering and scaling successful and innovative machine learning products (e.g. recommendation engines, experimentation systems)Track record of success working both independently and with key stakeholders to identify and solve data science problemsStrong skills in statistical languages (e.g. Python/R) and querying languages (e.g. SQL)Experience with NLP a plus! (but not required)With the above said, we always encourage people of all backgrounds and experiences to apply. We understand that job listings don't always allow your unique work history to shine so we invite you to show us what you know!The laundry list of tech we like: Python, PHP, Angular, Elasticsearch, AWS, MySQL, Apache. On the Data Science side, we're using Microservices API serving recommendations for our web app (Python, SQLAlchemy, MySQL, Flask). Benefits:Competitive salaryOpen vacation & sick timeMedical, vision, and dental insuranceApple laptop computerFrequent team outings, lunches, and team building eventsA beautiful office in Union Square, recently named one of Crains 100 Best Places to Work in New York CityLots of free food: stocked kitchen + beverages", 13 days ago
Data Scientist, Vettery," Â â€“Â New York, NY","Heres the gist: Vettery is a tech company, but what we ultimately do is help people find their dream job. We are looking for self-starters who care about helping people find a job they love! Its pretty simple, we are looking for hungry people with an energy to disrupt an ancient industry, while also enjoying the perks of a growing startup.  Vettery is growing quickly and this role has the potential for huge impact on our trajectory. The focus of the data science team is on digitizing recruiting from candidate sourcing to profile vetting and curation to making the best matches between candidates and companies. Were looking to add a Data Scientist to work on decision support, product optimization, and operation scaling projects across these areas. Youll be reporting directly to our Director of Data Science and working closely with the product and engineering teams. The ideal candidate is a critical thinker and a good communicator who excels in a fast-paced environment. Responsibilities:Build machine learning infrastructure and models (e.g. recommendation engines, statistical models, NLP engines) that drive activity on our platform, scale our business, and enhance the user experienceCollaborate with engineering and product leaders, as well as the co-founders, to frame and tackle a problem, both mathematically and within the business contextDevelop creative solutions to our biggest data science and engineering challengesCommunicate rationale for decisions and findings from analyses to facilitate operation decisionsDesign and track experiments for data science products as well as analyses throughout the organizationIn short, contribute meaningfully on all phases of the data science product lifecycle (exploratory data analysis, model development, model productionizing, rollout, and evaluation)Requirements:Ph.D. in Statistics, Operations Research, Mathematics, Computer Science, or other quantitative field2+ years of industry experience delivering and scaling successful and innovative machine learning products (e.g. recommendation engines, experimentation systems)Track record of success working both independently and with key stakeholders to identify and solve data science problemsStrong skills in statistical languages (e.g. Python/R) and querying languages (e.g. SQL)Experience with NLP a plus! (but not required)With the above said, we always encourage people of all backgrounds and experiences to apply. We understand that job listings don't always allow your unique work history to shine so we invite you to show us what you know!The laundry list of tech we like: Python, PHP, Angular, Elasticsearch, AWS, MySQL, Apache. On the Data Science side, we're using Microservices API serving recommendations for our web app (Python, SQLAlchemy, MySQL, Flask). Benefits:Competitive salaryOpen vacation & sick timeMedical, vision, and dental insuranceApple laptop computerFrequent team outings, lunches, and team building eventsA beautiful office in Union Square, recently named one of Crains 100 Best Places to Work in New York CityLots of free food: stocked kitchen + beverages", 13 days ago
Data Scientist, Intent Media," Â â€“Â New York, NY"," Intent Media is upending the e-commerce business model by using electronic market design and machine learning to enable the worlds leading online travel companies to publish competitive ads to users in the comparison-shopping portion of their purchase path. To create this opportunity, we manage a complex large-scale two-sided market mediated by a multi-item auction. What You Will Do: As a key member of our Data Science team, you will use your quantitative expertise to identify new areas of research and optimization, and then see those ideas through to production. Data Science is a fundamental contributor to Intent Medias success - your work will have a direct and tangible impact on the business.  There are no typical projects, but a workflow might involve performing research and analysis against petabytes of historical data using our collection of large-scale analytics tools like Spark, Presto, and Vertica, building prototypes using the scientific Python stack or another functional language, pairing with members of our engineering team to harden and deploy the functionality, and running live tests to monitor the results.  All of these steps take place in an environment of respect and collaboration, and the Data Science team is empowered to own its agile processes. Every member of the team is expected to be both a student and teacher, and we believe that the most effective Data Science team is one that is collectively learning and growing. Experience in coaching and mentoring colleagues at all levels is strongly desired. About You:PhD preferred in a quantitative discipline such as Operations Research, Statistics, Applied Math, Computer Science, or relatedSignificant industry experience in some or all of:Econometric / time-series modelsRegressionOptimization mathematicsAuction theoryExperience coaching and mentoring team membersSome experience writing production softwarein a language like Java, Ruby, Clojure, Scala, Python, or C++in an agile, collaborative environmentBonus Points:Experience with Hadoop or SparkExperience with AWS or other cloud service providersExperience in machine learning techniquesExperience in a Linux or other Unix-like environmentAbout Us:Intent Media uses predictive analytics to help travel brands maximize revenue per visitor. Sophisticated machine learning capabilities trained and fine tuned for years enable us to serve ads and conversion-boosting user experiences based on a unique understanding of where a given user is in the shopping journey.We operate in more than 40 countries with hundreds of airline, hotel, car rental, online travel agency and meta-search partners around the globe, including nine of the top 10 OTAs and meta-search sites in North America. Were over 120 people strong, with offices in NYC (HQ), London and Munich.Every day, were inspired by two pursuits. First, were building novel products that are upending ecommerce. Second, were building the company weve always wanted to work for one thats open, human and collaborative, where very smart people come together to share ideas and get things done. Weve been included on the Crains Best Places to Work in NYC list for five years running.Love Your Job!Our vibrant team accomplishes a lot every day, and our management insists upon work/life balance so that we never become stale. We infuse fun and learning time into our days and our vacation policy includes a minimum, but no maximum.Our employees enjoy coming to work, and we let them know they're valued.We dont take ourselves too seriously, but we take our work very seriously. We believe that in order for our employees to produce at their top level, they need to have intimate access to strategic decisions. Our flat structure and open communication allow for innovation from all levels ideas flow freely.We offer competitive compensation and great benefits; stock options; $2K learning budget; and company-wide social events.So what are you waiting for? Apply with your resume in just a few clicks! You can learn more about us at:www.intentmedia.com/productswww.intentmedia.com/abouthttp://intentmedia.tumblr.comwww.facebook.com/intentmedianycwww.twitter.com/intentmedia", 7 days ago
Data Scientist, Intent Media," Â â€“Â New York, NY"," Intent Media is upending the e-commerce business model by using electronic market design and machine learning to enable the worlds leading online travel companies to publish competitive ads to users in the comparison-shopping portion of their purchase path. To create this opportunity, we manage a complex large-scale two-sided market mediated by a multi-item auction. What You Will Do: As a key member of our Data Science team, you will use your quantitative expertise to identify new areas of research and optimization, and then see those ideas through to production. Data Science is a fundamental contributor to Intent Medias success - your work will have a direct and tangible impact on the business.  There are no typical projects, but a workflow might involve performing research and analysis against petabytes of historical data using our collection of large-scale analytics tools like Spark, Presto, and Vertica, building prototypes using the scientific Python stack or another functional language, pairing with members of our engineering team to harden and deploy the functionality, and running live tests to monitor the results.  All of these steps take place in an environment of respect and collaboration, and the Data Science team is empowered to own its agile processes. Every member of the team is expected to be both a student and teacher, and we believe that the most effective Data Science team is one that is collectively learning and growing. Experience in coaching and mentoring colleagues at all levels is strongly desired. About You:PhD preferred in a quantitative discipline such as Operations Research, Statistics, Applied Math, Computer Science, or relatedSignificant industry experience in some or all of:Econometric / time-series modelsRegressionOptimization mathematicsAuction theoryExperience coaching and mentoring team membersSome experience writing production softwarein a language like Java, Ruby, Clojure, Scala, Python, or C++in an agile, collaborative environmentBonus Points:Experience with Hadoop or SparkExperience with AWS or other cloud service providersExperience in machine learning techniquesExperience in a Linux or other Unix-like environmentAbout Us:Intent Media uses predictive analytics to help travel brands maximize revenue per visitor. Sophisticated machine learning capabilities trained and fine tuned for years enable us to serve ads and conversion-boosting user experiences based on a unique understanding of where a given user is in the shopping journey.We operate in more than 40 countries with hundreds of airline, hotel, car rental, online travel agency and meta-search partners around the globe, including nine of the top 10 OTAs and meta-search sites in North America. Were over 120 people strong, with offices in NYC (HQ), London and Munich.Every day, were inspired by two pursuits. First, were building novel products that are upending ecommerce. Second, were building the company weve always wanted to work for one thats open, human and collaborative, where very smart people come together to share ideas and get things done. Weve been included on the Crains Best Places to Work in NYC list for five years running.Love Your Job!Our vibrant team accomplishes a lot every day, and our management insists upon work/life balance so that we never become stale. We infuse fun and learning time into our days and our vacation policy includes a minimum, but no maximum.Our employees enjoy coming to work, and we let them know they're valued.We dont take ourselves too seriously, but we take our work very seriously. We believe that in order for our employees to produce at their top level, they need to have intimate access to strategic decisions. Our flat structure and open communication allow for innovation from all levels ideas flow freely.We offer competitive compensation and great benefits; stock options; $2K learning budget; and company-wide social events.So what are you waiting for? Apply with your resume in just a few clicks! You can learn more about us at:www.intentmedia.com/productswww.intentmedia.com/abouthttp://intentmedia.tumblr.comwww.facebook.com/intentmedianycwww.twitter.com/intentmedia", 7 days ago
Data Scientist, Two Sigma," Â â€“Â New York, NY"," Two Sigma is looking for Data Scientists from a variety of backgrounds to help propel and enhance its data-driven investment initiatives. As a Two Sigma Data Scientist, you will explore a breadth of challenges: identifying timely and unique data sets, diving deep into a diverse set of data domains, visualizing and exploring underlying data drivers, and developing data set features and forecasts. Responsibilities:Apply statistical analysis & modeling techniques with finance intuition to datasets large and small, advance existing initiatives and open opportunities to pursue new and previously unexplored research topics across a wide variety of industries and domainsOperate and extend the data science platform to deliver production-grade data curation and analysis servicesOwn end-to-end data workflows and develop deep domain expertise on the underlying actors and behaviors manifested through dataVisualize and explore data sets to enable the ideation and generation of new, predictive featureQualifications and Experience:Advanced degree in Computer Science is preferred3+ years of experience in data analysis or similar roleExperience applying statistical methods (distribution analysis, classification, clustering, etc.)Strong coding skills with data-frames are a prerequisite, example platforms include Pandas, R, Matlab, and Apache Spark Demonstrated experience highlighting innovation, creativity, and intuition, e.g the ability to laterally identify other sources of useful information and think 'outside the box'Prior Experience in finance is not required", 10 days ago
Data Scientist, Two Sigma," Â â€“Â New York, NY"," Two Sigma is looking for Data Scientists from a variety of backgrounds to help propel and enhance its data-driven investment initiatives. As a Two Sigma Data Scientist, you will explore a breadth of challenges: identifying timely and unique data sets, diving deep into a diverse set of data domains, visualizing and exploring underlying data drivers, and developing data set features and forecasts. Responsibilities:Apply statistical analysis & modeling techniques with finance intuition to datasets large and small, advance existing initiatives and open opportunities to pursue new and previously unexplored research topics across a wide variety of industries and domainsOperate and extend the data science platform to deliver production-grade data curation and analysis servicesOwn end-to-end data workflows and develop deep domain expertise on the underlying actors and behaviors manifested through dataVisualize and explore data sets to enable the ideation and generation of new, predictive featureQualifications and Experience:Advanced degree in Computer Science is preferred3+ years of experience in data analysis or similar roleExperience applying statistical methods (distribution analysis, classification, clustering, etc.)Strong coding skills with data-frames are a prerequisite, example platforms include Pandas, R, Matlab, and Apache Spark Demonstrated experience highlighting innovation, creativity, and intuition, e.g the ability to laterally identify other sources of useful information and think 'outside the box'Prior Experience in finance is not required", 10 days ago
Data Scientist, SeatGeek," Â â€“Â New York, NY"," SeatGeek operates a unique business model in a complicated, opaque market. Many of the hardest problems we face have never been tackled at scale and do not have clear questions, let alone answers. Moving forward requires critical thinking, rapid prototyping, and intellectual dexterity.  Our team members have varied backgrounds including an expert on natural language processing, a neuroscientist, a former math teacher, and a mathematician who previously specialized in traffic flow optimization. We share common views on experimental rigor, pragmatism, and software quality.  We want someone to join us who shares our excitement at providing data services to our colleagues and customers, someone proficient with at least one general-purpose programming language and who knows its scientific stack. We want someone who can take a messy dataset and make it clean and who can take a clean dataset and make it sing. Last but not least, we want someone whos committed not only to bettering themselves but to bettering their team, someone who values and invests in knowledge share and open communication. What youll be doing As a member of the SeatGeek data science team you will take the complex issues facing the business and make them simple. We aim to find meaning in the data we have, go out and get the data we dont. We leverage technology whenever possible, and we strive to build systems that anticipate the needs of tomorrow as well as solving the problems of today.  Here are some things you might work on: Design and implement statistical tests for new KPIs in our A/B testing frameworkMine user interaction data for operational efficiencies and product improvements that could save our customers time and boost our bottom lineDeliver a talk to engineers on your favorite Scala features or a class on epistemology to the rest of the businessEstimate how adding a hundred thousand tickets to our inventory or changing how we allocate marketing resources will impact revenueUse machine learning to identify when a user has a problem before they contact usBuild a model to predict the probability a particular ticket listing will sell at a given priceWhat were looking for The ideal candidate has a passion for problem solving, experience working on open-ended projects, and a proven ability to come up with creative, elegant solutions to complex issues. Experience with specific tools is less important than aptitude and drive, but at a minimum we would expect: 3-5 years of academic or professional experience in a quantitative roleExperience translating business problems into data problems and solving themComfort turning ideas into code (bonus points for experience with Python or Scala)Commitment to creating and sharing reproducible analysisA passion for constantly learning and teaching others Bonus points for candidates who have experience with or desire to learn any of the following: Streaming data (Reactive Extensions, Spark Streaming, Akka-streams, Kafka, RabbitMQ)AWS infrastructure (we use Redshift, S3, EMR, Kinesis, Lambda, and RDS)Building distributed software (especially on top of Spark, Hadoop, etc.) in a production environmentUtilizing applied statistics or machine learning on large, complex, noisy datasetsScaling and turning statistical models into production-ready applications such as recommender systems The Tools We Use  We do research and development work in a custom environment optimized for repeatability and collaboration. You absolutely do not need experience with all of these, but we thought you might be curious. Languages: Python for web services and product devlopment, R for analysis and prototypingDatastores: MySQL, Redshift, Elasticsearch, RedisMonitoring: Graphite/StatsDVersion control: Git Job Perks A competitive base salary and equity stake in a well-funded growth stage companyA culture where the product is kingA monthly budget to spend on tickets to live eventsA laid-back, fun workplace with an endless supply of snacks/coffee/beer, frequent team lunches, and social jaunts organized by Eric Waller, our official Social ChairThe opportunity to write code that is used outside of SeatGeek, e.g. we've opensourced our a/b testing framework,Sixpack, our Redis-backed autocompleting service, Soulmate, and our Python string matching library, FuzzyWuzzyA superb benefits package, including full health/dental/visionHackathons: scheduled times when everyone drops what theyre doing and builds cool stuff in small groups", 20 days ago
Data Scientist, SeatGeek," Â â€“Â New York, NY"," SeatGeek operates a unique business model in a complicated, opaque market. Many of the hardest problems we face have never been tackled at scale and do not have clear questions, let alone answers. Moving forward requires critical thinking, rapid prototyping, and intellectual dexterity.  Our team members have varied backgrounds including an expert on natural language processing, a neuroscientist, a former math teacher, and a mathematician who previously specialized in traffic flow optimization. We share common views on experimental rigor, pragmatism, and software quality.  We want someone to join us who shares our excitement at providing data services to our colleagues and customers, someone proficient with at least one general-purpose programming language and who knows its scientific stack. We want someone who can take a messy dataset and make it clean and who can take a clean dataset and make it sing. Last but not least, we want someone whos committed not only to bettering themselves but to bettering their team, someone who values and invests in knowledge share and open communication. What youll be doing As a member of the SeatGeek data science team you will take the complex issues facing the business and make them simple. We aim to find meaning in the data we have, go out and get the data we dont. We leverage technology whenever possible, and we strive to build systems that anticipate the needs of tomorrow as well as solving the problems of today.  Here are some things you might work on: Design and implement statistical tests for new KPIs in our A/B testing frameworkMine user interaction data for operational efficiencies and product improvements that could save our customers time and boost our bottom lineDeliver a talk to engineers on your favorite Scala features or a class on epistemology to the rest of the businessEstimate how adding a hundred thousand tickets to our inventory or changing how we allocate marketing resources will impact revenueUse machine learning to identify when a user has a problem before they contact usBuild a model to predict the probability a particular ticket listing will sell at a given priceWhat were looking for The ideal candidate has a passion for problem solving, experience working on open-ended projects, and a proven ability to come up with creative, elegant solutions to complex issues. Experience with specific tools is less important than aptitude and drive, but at a minimum we would expect: 3-5 years of academic or professional experience in a quantitative roleExperience translating business problems into data problems and solving themComfort turning ideas into code (bonus points for experience with Python or Scala)Commitment to creating and sharing reproducible analysisA passion for constantly learning and teaching others Bonus points for candidates who have experience with or desire to learn any of the following: Streaming data (Reactive Extensions, Spark Streaming, Akka-streams, Kafka, RabbitMQ)AWS infrastructure (we use Redshift, S3, EMR, Kinesis, Lambda, and RDS)Building distributed software (especially on top of Spark, Hadoop, etc.) in a production environmentUtilizing applied statistics or machine learning on large, complex, noisy datasetsScaling and turning statistical models into production-ready applications such as recommender systems The Tools We Use  We do research and development work in a custom environment optimized for repeatability and collaboration. You absolutely do not need experience with all of these, but we thought you might be curious. Languages: Python for web services and product devlopment, R for analysis and prototypingDatastores: MySQL, Redshift, Elasticsearch, RedisMonitoring: Graphite/StatsDVersion control: Git Job Perks A competitive base salary and equity stake in a well-funded growth stage companyA culture where the product is kingA monthly budget to spend on tickets to live eventsA laid-back, fun workplace with an endless supply of snacks/coffee/beer, frequent team lunches, and social jaunts organized by Eric Waller, our official Social ChairThe opportunity to write code that is used outside of SeatGeek, e.g. we've opensourced our a/b testing framework,Sixpack, our Redis-backed autocompleting service, Soulmate, and our Python string matching library, FuzzyWuzzyA superb benefits package, including full health/dental/visionHackathons: scheduled times when everyone drops what theyre doing and builds cool stuff in small groups", 20 days ago
Data Scientist, Pfizer," Â â€“Â New York, NY"," As a member of the Pfizer Analytics Lab team, a component of Pfizer's Business Technology organization, the Data Scientist will join a group dedicated to leveraging data and advanced analytics to create a healthier world. Specifically, this group is focused on developing a set of capabilities designed to enable highly efficient exploration, experimentation, and ultimately rapid hypothesis generation based on internal, public, and commercially available datasets.  Day-to-day, the Data Scientist will actively support ad-hoc analysis efforts by groups across Pfizer largely focused on identifying, developing, and delivering life-changing therapies to patients around the world. Further, this role will be a key contributor to the team's on-going analytic product development activities; an essential component to creating a scalable analytics capability for Pfizer.  In addition, as technologists within Pfizer's analytic eco-system; this role will also participate in the assessment of new technologies as well as identifying next-generation solution architectures. Work closely with teams across Pfizer to maximize the use of data in answering key questions related to: acceleration of drug discovery efforts, identification of drug repurposing opportunities, optimization of clinical trial activities, improving patient access to Pfizer therapies through a better understanding of outcomes & patterns of care, and maximizing the value of our interactions with patients, healthcare providers, payers, and regulatory agencies.Co-Develop efficient analytic pipelines that include components related to data acquisition, exploratory analysis, feature engineering, modeling, and interactive storytelling.Produce actionable data presentations and visualizations for decision makers throughout the organizationCo-develop analytic products & other re-usable components that will serve as the foundation for a scalable approach for Pfizer's analytic maturationPartner with other Business Technology teams to define and execute technology POCs using innovative technologies to advance Pfizer's analytic capabilitiesPartner with other Data Science oriented groups within Pfizer to develop common tools & approaches through participation in formal/informal community of practice activitiesDirectly engage with key business stake-holders (Senior Manager level)Shared-ownership of advancing team's capabilities in at least one technical areaEEO & Employment Eligibility Pfizer is committed to equal opportunity in the terms and conditions of employment for all employees and job applicants without regard to race, color, religion, sex, sexual orientation, age, gender identity or gender expression, national origin, disability or veteran status. Pfizer also complies with all applicable national, state and local laws governing nondiscrimination in employment as well as work authorization and employment eligibility verification requirements of the Immigration and Nationality Act and IRCA. Pfizer is an E-Verify employer. Sunshine Act Pfizer reports payments and other transfers of value to health care providers as required by federal and state transparency laws and implementing regulations. These laws and regulations require Pfizer to provide government agencies with information such as a health care provider's name, address and the type of payments or other value received, generally for public disclosure. Subject to further legal review and statutory or regulatory clarification, which Pfizer intends to pursue, reimbursement of recruiting expenses for licensed physicians may constitute a reportable transfer of value under the federal transparency law commonly known as the Sunshine Act. Therefore, if you are a licensed physician who incurs recruiting expenses as a result of interviewing with Pfizer that we pay or reimburse, your name, address and the amount of payments made currently will be reported to the government. If you have questions regarding this matter, please do not hesitate to contact your Talent Acquisition representative Additional Offer Details:Last Date to Apply for Job: 10/15/2017Grade: 6Additional Location Information: NYCEligible for Employee Referral Bonus: No Pfizer is an equal opportunity employer and complies with all applicable equal employment opportunity legislation in each jurisdiction in which it operates.", 2 days ago
Data Scientist, Pfizer," Â â€“Â New York, NY"," As a member of the Pfizer Analytics Lab team, a component of Pfizer's Business Technology organization, the Data Scientist will join a group dedicated to leveraging data and advanced analytics to create a healthier world. Specifically, this group is focused on developing a set of capabilities designed to enable highly efficient exploration, experimentation, and ultimately rapid hypothesis generation based on internal, public, and commercially available datasets.  Day-to-day, the Data Scientist will actively support ad-hoc analysis efforts by groups across Pfizer largely focused on identifying, developing, and delivering life-changing therapies to patients around the world. Further, this role will be a key contributor to the team's on-going analytic product development activities; an essential component to creating a scalable analytics capability for Pfizer.  In addition, as technologists within Pfizer's analytic eco-system; this role will also participate in the assessment of new technologies as well as identifying next-generation solution architectures. Work closely with teams across Pfizer to maximize the use of data in answering key questions related to: acceleration of drug discovery efforts, identification of drug repurposing opportunities, optimization of clinical trial activities, improving patient access to Pfizer therapies through a better understanding of outcomes & patterns of care, and maximizing the value of our interactions with patients, healthcare providers, payers, and regulatory agencies.Co-Develop efficient analytic pipelines that include components related to data acquisition, exploratory analysis, feature engineering, modeling, and interactive storytelling.Produce actionable data presentations and visualizations for decision makers throughout the organizationCo-develop analytic products & other re-usable components that will serve as the foundation for a scalable approach for Pfizer's analytic maturationPartner with other Business Technology teams to define and execute technology POCs using innovative technologies to advance Pfizer's analytic capabilitiesPartner with other Data Science oriented groups within Pfizer to develop common tools & approaches through participation in formal/informal community of practice activitiesDirectly engage with key business stake-holders (Senior Manager level)Shared-ownership of advancing team's capabilities in at least one technical areaEEO & Employment Eligibility Pfizer is committed to equal opportunity in the terms and conditions of employment for all employees and job applicants without regard to race, color, religion, sex, sexual orientation, age, gender identity or gender expression, national origin, disability or veteran status. Pfizer also complies with all applicable national, state and local laws governing nondiscrimination in employment as well as work authorization and employment eligibility verification requirements of the Immigration and Nationality Act and IRCA. Pfizer is an E-Verify employer. Sunshine Act Pfizer reports payments and other transfers of value to health care providers as required by federal and state transparency laws and implementing regulations. These laws and regulations require Pfizer to provide government agencies with information such as a health care provider's name, address and the type of payments or other value received, generally for public disclosure. Subject to further legal review and statutory or regulatory clarification, which Pfizer intends to pursue, reimbursement of recruiting expenses for licensed physicians may constitute a reportable transfer of value under the federal transparency law commonly known as the Sunshine Act. Therefore, if you are a licensed physician who incurs recruiting expenses as a result of interviewing with Pfizer that we pay or reimburse, your name, address and the amount of payments made currently will be reported to the government. If you have questions regarding this matter, please do not hesitate to contact your Talent Acquisition representative Additional Offer Details:Last Date to Apply for Job: 10/15/2017Grade: 6Additional Location Information: NYCEligible for Employee Referral Bonus: No Pfizer is an equal opportunity employer and complies with all applicable equal employment opportunity legislation in each jurisdiction in which it operates.", 2 days ago
